Type,Onset,Duration,DurationCorrected
Opto1,48064.750,224.500,204.500
TTLin1,48543.000,183.250,183.250
Opto1,48564.500,224.500,204.500
TTLin1,49042.750,183.250,183.250
Opto1,49064.000,224.500,204.500
TTLin1,49542.500,183.250,183.250
Opto1,49563.750,224.500,204.500
TTLin1,50042.250,183.250,183.250
Opto1,50063.500,224.500,204.500
TTLin1,50542.000,183.250,183.250
Opto1,50563.250,224.500,204.500
TTLin1,51041.750,183.250,183.250
Opto1,51063.000,224.500,204.500
TTLin1,51541.500,183.250,183.250
Opto1,51562.750,224.500,204.500
TTLin1,52041.250,183.250,183.250
Opto1,52062.500,224.500,204.500
TTLin1,52541.000,183.250,183.250
Opto1,52562.250,224.500,204.500
TTLin1,53040.500,183.250,183.250
Opto1,53062.000,224.250,204.250
TTLin1,53540.250,183.250,183.250
Opto1,53561.500,224.500,204.500
TTLin1,54040.000,183.250,183.250
Opto1,54061.250,224.500,204.500
TTLin1,54539.750,183.250,183.250
Opto1,54561.000,224.500,204.500
TTLin1,55039.500,183.250,183.250
Opto1,55060.750,224.500,204.500
TTLin1,55539.000,183.250,183.250
Opto1,55560.500,224.250,204.250
TTLin1,56038.750,183.250,183.250
Opto1,56060.250,224.250,204.250
TTLin1,56538.750,183.250,183.250
Opto1,56560.000,224.250,204.250
TTLin1,57038.500,183.000,183.000
Opto1,57059.750,224.250,204.250
TTLin1,57538.000,183.250,183.250
Opto1,57559.500,224.250,204.250
TTLin1,58037.750,183.250,183.250
Opto1,58059.000,224.500,204.500
TTLin1,58537.500,183.250,183.250
Opto1,58558.750,224.500,204.500
TTLin1,59037.250,183.250,183.250
Opto1,59058.250,224.500,204.500
TTLin1,59536.750,183.250,183.250
Opto1,59558.000,224.500,204.500
TTLin1,60036.500,183.250,183.250
Opto1,60058.000,224.500,204.500
TTLin1,60536.250,183.250,183.250
Opto1,60557.750,224.250,204.250
TTLin1,61036.000,183.250,183.250
Opto1,61057.250,224.500,204.500
TTLin1,61535.750,183.250,183.250
Opto1,61557.000,224.500,204.500
TTLin1,62035.500,183.250,183.250
Opto1,62056.750,224.500,204.500
TTLin1,62535.000,183.250,183.250
Opto1,62556.250,224.750,204.750
TTLin1,63034.750,183.250,183.250
Opto1,63056.250,224.250,204.250
TTLin1,63534.500,183.250,183.250
Opto1,63556.000,224.250,204.250
TTLin1,64034.250,183.250,183.250
Opto1,64055.500,224.500,204.500
TTLin1,64534.000,183.000,183.000
Opto1,64555.250,224.500,204.500
TTLin1,65033.750,183.250,183.250
Opto1,65055.000,224.500,204.500
TTLin1,65533.500,183.250,183.250
Opto1,65554.750,224.250,204.250
TTLin1,66033.250,183.250,183.250
Opto1,66054.500,224.250,204.250
TTLin1,66533.000,183.250,183.250
Opto1,66554.000,224.500,204.500
TTLin1,67032.500,183.250,183.250
Opto1,67053.750,224.250,204.250
TTLin1,67532.250,183.250,183.250
Opto1,67553.500,224.500,204.500
TTLin1,68032.000,183.250,183.250
Opto1,68053.250,224.500,204.500
TTLin1,68531.750,183.250,183.250
Opto1,68553.000,224.250,204.250
TTLin1,69031.500,183.250,183.250
Opto1,69052.750,224.500,204.500
TTLin1,69531.250,183.000,183.000
Opto1,69552.250,224.500,204.500
TTLin1,70030.750,183.250,183.250
Opto1,70052.000,224.500,204.500
TTLin1,70530.500,183.250,183.250
Opto1,70552.000,224.250,204.250
TTLin1,71030.250,183.250,183.250
Opto1,71051.500,224.500,204.500
TTLin1,71530.000,183.250,183.250
Opto1,71551.250,224.250,204.250
TTLin1,72029.750,183.250,183.250
Opto1,72050.750,224.500,204.500
TTLin1,72529.500,183.000,183.000
Opto1,72550.750,224.250,204.250
TTLin1,73029.000,183.250,183.250
Opto1,73050.250,224.500,204.500
TTLin1,73528.750,183.250,183.250
Opto1,73550.000,224.500,204.500
TTLin1,74028.500,183.250,183.250
Opto1,74049.750,224.500,204.500
TTLin1,74528.250,183.250,183.250
Opto1,74549.500,224.500,204.500
TTLin1,75028.000,183.000,183.000
Opto1,75049.250,224.250,204.250
TTLin1,75527.500,183.250,183.250
Opto1,75548.750,224.750,204.750
TTLin1,76027.250,183.250,183.250
Opto1,76048.500,224.250,204.250
TTLin1,76527.000,183.250,183.250
Opto1,76548.250,224.500,204.500
TTLin1,77026.750,183.500,183.500
Opto1,77048.250,224.250,204.250
TTLin1,77526.750,183.000,183.000
Opto1,77547.750,224.500,204.500
TTLin1,78026.250,183.250,183.250
Opto1,78047.250,224.500,204.500
TTLin1,78526.000,183.250,183.250
Opto1,78547.250,224.250,204.250
TTLin1,79025.750,183.250,183.250
Opto1,79047.000,224.250,204.250
TTLin1,79525.500,183.250,183.250
Opto1,79546.500,224.500,204.500
TTLin1,80025.250,183.000,183.000
Opto1,80046.250,224.500,204.500
TTLin1,80524.750,183.250,183.250
Opto1,80546.000,224.250,204.250
TTLin1,81024.500,183.250,183.250
Opto1,81045.750,224.250,204.250
TTLin1,81524.250,183.250,183.250
Opto1,81545.500,224.250,204.250
TTLin1,82024.000,183.250,183.250
Opto1,82045.000,224.500,204.500
TTLin1,82523.500,183.250,183.250
Opto1,82544.750,224.750,204.750
TTLin1,83023.250,183.250,183.250
Opto1,83044.500,224.500,204.500
TTLin1,83523.000,183.250,183.250
Opto1,83544.250,224.500,204.500
TTLin1,84022.750,183.250,183.250
Opto1,84043.750,224.750,204.750
TTLin1,84522.500,183.250,183.250
Opto1,84543.750,224.500,204.500
TTLin1,85022.250,183.000,183.000
Opto1,85043.250,224.500,204.500
TTLin1,85521.750,183.250,183.250
Opto1,85543.250,224.250,204.250
TTLin1,86021.500,183.250,183.250
Opto1,86043.000,224.250,204.250
TTLin1,86521.250,183.250,183.250
Opto1,86542.500,224.500,204.500
TTLin1,87021.000,183.250,183.250
Opto1,87042.250,224.500,204.500
TTLin1,87520.500,183.250,183.250
Opto1,87542.000,224.500,204.500
TTLin1,88020.250,183.250,183.250
Opto1,88041.750,224.500,204.500
TTLin1,88520.000,183.250,183.250
Opto1,88541.500,224.250,204.250
TTLin1,89019.750,183.250,183.250
Opto1,89041.250,224.250,204.250
TTLin1,89519.500,183.250,183.250
Opto1,89540.750,224.500,204.500
TTLin1,90019.000,183.500,183.500
Opto1,90040.250,224.500,204.500
TTLin1,90519.000,183.250,183.250
Opto1,90540.000,224.750,204.750
TTLin1,91018.500,183.250,183.250
Opto1,91040.000,224.250,204.250
