Type,Onset,Duration,DurationCorrected
Opto1,53201.000,225.000,205.000
TTLin1,53662.750,183.000,183.000
Opto1,53701.000,224.750,204.750
TTLin1,54162.500,183.000,183.000
Opto1,54200.750,224.500,204.500
TTLin1,54662.000,183.250,183.250
Opto1,54700.250,224.750,204.750
TTLin1,55161.750,183.250,183.250
Opto1,55200.000,224.750,204.750
TTLin1,55661.500,183.250,183.250
Opto1,55699.750,224.750,204.750
TTLin1,56161.250,183.250,183.250
Opto1,56199.500,224.750,204.750
TTLin1,56661.000,183.250,183.250
Opto1,56699.250,224.750,204.750
TTLin1,57160.750,183.000,183.000
Opto1,57198.750,224.750,204.750
TTLin1,57660.500,183.000,183.000
Opto1,57698.750,224.750,204.750
TTLin1,58160.000,183.250,183.250
Opto1,58198.250,224.750,204.750
TTLin1,58659.750,183.500,183.500
Opto1,58698.000,224.750,204.750
TTLin1,59159.500,183.250,183.250
Opto1,59197.750,224.750,204.750
TTLin1,59659.250,183.250,183.250
Opto1,59697.250,225.000,205.000
TTLin1,60159.000,183.250,183.250
Opto1,60197.000,225.000,205.000
TTLin1,60658.750,183.250,183.250
Opto1,60696.750,224.750,204.750
TTLin1,61158.500,183.250,183.250
Opto1,61196.500,224.750,204.750
TTLin1,61658.000,183.250,183.250
Opto1,61696.250,224.750,204.750
TTLin1,62157.750,183.250,183.250
Opto1,62196.000,224.750,204.750
TTLin1,62657.500,183.250,183.250
Opto1,62695.500,225.000,205.000
TTLin1,63157.250,183.250,183.250
Opto1,63195.250,224.750,204.750
TTLin1,63657.000,183.000,183.000
Opto1,63695.250,224.750,204.750
TTLin1,64156.500,183.250,183.250
Opto1,64194.750,224.750,204.750
TTLin1,64656.250,183.250,183.250
Opto1,64694.500,224.750,204.750
TTLin1,65156.000,183.250,183.250
Opto1,65194.250,224.750,204.750
TTLin1,65655.750,183.250,183.250
Opto1,65693.750,225.000,205.000
TTLin1,66155.500,183.000,183.000
Opto1,66193.750,224.500,204.500
TTLin1,66655.000,183.250,183.250
Opto1,66693.500,224.750,204.750
TTLin1,67154.750,183.250,183.250
Opto1,67193.250,224.750,204.750
TTLin1,67654.500,183.250,183.250
Opto1,67693.000,224.500,204.500
TTLin1,68154.250,183.250,183.250
Opto1,68192.500,224.750,204.750
TTLin1,68654.000,183.250,183.250
Opto1,68692.250,224.750,204.750
TTLin1,69153.750,183.250,183.250
Opto1,69192.000,224.750,204.750
TTLin1,69653.250,183.250,183.250
Opto1,69691.750,224.750,204.750
TTLin1,70153.000,183.500,183.500
Opto1,70191.500,224.750,204.750
TTLin1,70652.750,183.250,183.250
Opto1,70691.250,224.500,204.500
TTLin1,71152.500,183.250,183.250
Opto1,71191.000,224.500,204.500
TTLin1,71652.250,183.250,183.250
Opto1,71690.500,224.500,204.500
TTLin1,72152.000,183.250,183.250
Opto1,72190.250,224.500,204.500
TTLin1,72651.750,183.250,183.250
Opto1,72690.000,224.500,204.500
TTLin1,73151.500,183.250,183.250
Opto1,73189.500,225.000,205.000
TTLin1,73651.000,183.250,183.250
Opto1,73689.500,224.500,204.500
TTLin1,74150.750,183.250,183.250
Opto1,74189.000,224.750,204.750
TTLin1,74650.500,183.250,183.250
Opto1,74688.750,224.750,204.750
TTLin1,75150.250,183.250,183.250
Opto1,75188.500,224.750,204.750
TTLin1,75650.000,183.250,183.250
Opto1,75688.250,224.750,204.750
TTLin1,76149.500,183.250,183.250
Opto1,76188.000,224.750,204.750
TTLin1,76649.250,183.250,183.250
Opto1,76687.500,224.750,204.750
TTLin1,77149.000,183.250,183.250
Opto1,77187.500,224.750,204.750
TTLin1,77648.750,183.250,183.250
Opto1,77687.000,224.750,204.750
TTLin1,78148.500,183.250,183.250
Opto1,78186.750,224.750,204.750
TTLin1,78648.250,183.250,183.250
Opto1,78686.250,225.000,205.000
TTLin1,79148.000,183.250,183.250
Opto1,79186.250,224.500,204.500
TTLin1,79647.500,183.500,183.500
Opto1,79686.000,224.750,204.750
TTLin1,80147.250,183.250,183.250
Opto1,80185.500,224.750,204.750
TTLin1,80647.000,183.250,183.250
Opto1,80685.250,224.750,204.750
TTLin1,81146.750,183.250,183.250
Opto1,81185.000,224.750,204.750
TTLin1,81646.500,183.250,183.250
Opto1,81684.750,224.750,204.750
TTLin1,82146.250,183.000,183.000
Opto1,82184.500,224.750,204.750
TTLin1,82645.750,183.250,183.250
Opto1,82684.000,224.750,204.750
TTLin1,83145.500,183.250,183.250
Opto1,83183.750,224.500,204.500
TTLin1,83645.250,183.250,183.250
Opto1,83683.500,224.000,204.000
TTLin1,84145.000,183.250,183.250
Opto1,84183.000,225.000,205.000
TTLin1,84644.750,183.250,183.250
Opto1,84683.000,224.500,204.500
TTLin1,85144.250,183.250,183.250
Opto1,85182.750,224.500,204.500
TTLin1,85644.000,183.250,183.250
Opto1,85682.500,224.750,204.750
TTLin1,86143.750,183.250,183.250
Opto1,86182.250,224.750,204.750
TTLin1,86643.500,183.500,183.500
Opto1,86681.750,224.500,204.500
TTLin1,87143.250,183.250,183.250
Opto1,87181.500,225.000,205.000
TTLin1,87643.000,183.250,183.250
Opto1,87681.250,224.750,204.750
TTLin1,88142.750,183.250,183.250
Opto1,88181.000,224.750,204.750
TTLin1,88642.500,183.000,183.000
Opto1,88680.750,224.750,204.750
TTLin1,89142.000,183.250,183.250
Opto1,89180.000,225.000,205.000
TTLin1,89641.750,183.250,183.250
Opto1,89680.000,225.000,205.000
TTLin1,90141.500,183.250,183.250
Opto1,90179.500,225.000,205.000
TTLin1,90641.250,183.250,183.250
Opto1,90679.750,224.500,204.500
TTLin1,91141.000,183.250,183.250
Opto1,91179.250,224.750,204.750
TTLin1,91640.500,183.250,183.250
Opto1,91679.000,224.750,204.750
TTLin1,92140.250,183.250,183.250
Opto1,92178.500,224.750,204.750
TTLin1,92640.000,183.250,183.250
Opto1,92678.000,225.000,205.000
TTLin1,93139.750,183.250,183.250
Opto1,93178.000,224.750,204.750
TTLin1,93639.500,183.500,183.500
Opto1,93678.000,224.500,204.500
TTLin1,94139.250,183.250,183.250
Opto1,94177.750,224.500,204.500
TTLin1,94639.000,183.250,183.250
Opto1,94677.250,224.750,204.750
TTLin1,95138.750,183.250,183.250
Opto1,95176.750,225.000,205.000
TTLin1,95638.500,183.250,183.250
Opto1,95676.500,224.750,204.750
TTLin1,96138.250,183.250,183.250
Opto1,96176.500,224.500,204.500
TTLin1,96638.000,183.000,183.000
Opto1,96676.000,225.000,205.000
TTLin1,97137.500,183.250,183.250
Opto1,97175.500,224.250,204.250
TTLin1,97637.250,183.250,183.250
Opto1,97675.500,224.750,204.750
TTLin1,98137.000,183.250,183.250
Opto1,98175.250,224.750,204.750
TTLin1,98636.750,183.250,183.250
Opto1,98674.500,225.000,205.000
TTLin1,99136.250,183.500,183.500
Opto1,99174.750,224.500,204.500
TTLin1,99636.000,183.250,183.250
Opto1,99674.250,225.000,205.000
TTLin1,100135.750,183.250,183.250
Opto1,100174.000,224.750,204.750
TTLin1,100635.500,183.250,183.250
Opto1,100674.000,224.500,204.500
TTLin1,101135.250,183.250,183.250
Opto1,101173.500,224.000,204.000
TTLin1,101635.000,183.250,183.250
Opto1,101673.000,224.750,204.750
TTLin1,102134.500,183.250,183.250
Opto1,102172.750,225.000,205.000
TTLin1,102634.250,183.250,183.250
Opto1,102672.750,224.500,204.500
TTLin1,103134.000,183.250,183.250
Opto1,103172.250,224.750,204.750
TTLin1,103633.750,183.250,183.250
Opto1,103672.000,224.000,204.000
TTLin1,104133.500,183.250,183.250
Opto1,104171.750,224.750,204.750
TTLin1,104633.250,183.250,183.250
Opto1,104671.500,224.500,204.500
TTLin1,105133.000,183.250,183.250
Opto1,105171.250,224.750,204.750
TTLin1,105632.750,183.250,183.250
Opto1,105671.000,224.500,204.500
TTLin1,106132.500,183.250,183.250
Opto1,106170.000,225.250,205.250
TTLin1,106632.250,183.000,183.000
Opto1,106670.250,224.750,204.750
TTLin1,107131.750,183.250,183.250
Opto1,107169.750,224.750,204.750
TTLin1,107631.500,183.250,183.250
Opto1,107669.500,225.000,205.000
TTLin1,108131.250,183.250,183.250
Opto1,108169.500,224.500,204.500
TTLin1,108631.000,183.250,183.250
Opto1,108669.250,224.500,204.500
TTLin1,109130.750,183.250,183.250
Opto1,109168.500,225.000,205.000
TTLin1,109630.250,183.250,183.250
Opto1,109668.500,225.000,205.000
TTLin1,110130.000,183.250,183.250
Opto1,110168.000,225.000,205.000
TTLin1,110629.750,183.250,183.250
Opto1,110668.000,224.500,204.500
TTLin1,111129.500,183.250,183.250
Opto1,111167.750,224.500,204.500
TTLin1,111629.250,183.250,183.250
Opto1,111667.500,224.500,204.500
TTLin1,112128.750,183.250,183.250
Opto1,112167.250,224.500,204.500
TTLin1,112628.500,183.250,183.250
Opto1,112666.750,224.750,204.750
TTLin1,113128.250,183.250,183.250
Opto1,113166.500,224.250,204.250
TTLin1,113628.000,183.250,183.250
Opto1,113666.000,225.000,205.000
TTLin1,114127.750,183.000,183.000
Opto1,114166.000,224.750,204.750
TTLin1,114627.250,183.500,183.500
Opto1,114665.750,224.750,204.750
TTLin1,115127.000,183.250,183.250
Opto1,115165.500,224.500,204.500
TTLin1,115626.750,183.250,183.250
Opto1,115664.500,225.500,205.500
TTLin1,116126.500,183.250,183.250
Opto1,116164.250,225.250,205.250
TTLin1,116626.250,183.250,183.250
Opto1,116664.250,224.750,204.750
TTLin1,117125.750,183.250,183.250
Opto1,117164.000,224.750,204.750
TTLin1,117625.500,183.250,183.250
Opto1,117664.000,224.250,204.250
TTLin1,118125.250,183.250,183.250
Opto1,118163.500,224.750,204.750
TTLin1,118625.000,183.250,183.250
Opto1,118663.500,224.500,204.500
TTLin1,119124.750,183.250,183.250
Opto1,119163.000,224.750,204.750
TTLin1,119624.250,183.250,183.250
Opto1,119662.500,225.000,205.000
TTLin1,120124.000,183.250,183.250
Opto1,120162.250,225.000,205.000
TTLin1,120623.750,183.250,183.250
Opto1,120662.250,224.750,204.750
TTLin1,121123.500,183.250,183.250
Opto1,121162.000,224.750,204.750
TTLin1,121623.250,183.500,183.500
Opto1,121661.750,224.500,204.500
TTLin1,122123.250,183.250,183.250
Opto1,122161.500,224.500,204.500
TTLin1,122623.000,183.250,183.250
Opto1,122661.000,224.750,204.750
TTLin1,123122.500,183.250,183.250
Opto1,123160.750,224.750,204.750
TTLin1,123622.250,183.250,183.250
Opto1,123660.250,224.750,204.750
TTLin1,124122.000,183.250,183.250
Opto1,124160.000,224.500,204.500
TTLin1,124621.750,183.250,183.250
Opto1,124658.500,226.250,206.250
TTLin1,125121.500,183.250,183.250
Opto1,125159.250,225.000,205.000
TTLin1,125621.000,183.250,183.250
Opto1,125659.250,224.750,204.750
TTLin1,126120.750,183.250,183.250
Opto1,126159.000,224.500,204.500
TTLin1,126620.500,183.250,183.250
Opto1,126658.500,224.750,204.750
TTLin1,127120.250,183.250,183.250
Opto1,127158.500,224.500,204.500
TTLin1,127620.000,183.250,183.250
Opto1,127658.000,225.000,205.000
TTLin1,128119.500,183.250,183.250
Opto1,128157.750,224.750,204.750
TTLin1,128619.250,183.250,183.250
Opto1,128657.250,225.000,205.000
TTLin1,129119.000,183.250,183.250
Opto1,129157.250,224.750,204.750
TTLin1,129618.750,183.250,183.250
Opto1,129657.000,224.750,204.750
TTLin1,130118.500,183.250,183.250
Opto1,130156.250,225.000,205.000
TTLin1,130618.000,183.250,183.250
Opto1,130656.000,225.000,205.000
TTLin1,131117.750,183.250,183.250
Opto1,131156.000,225.000,205.000
TTLin1,131617.500,183.250,183.250
Opto1,131655.750,224.250,204.250
TTLin1,132117.250,183.250,183.250
Opto1,132155.500,224.750,204.750
TTLin1,132617.000,183.250,183.250
Opto1,132654.750,225.000,205.000
TTLin1,133116.750,183.250,183.250
Opto1,133154.750,224.500,204.500
TTLin1,133616.250,183.250,183.250
Opto1,133653.500,225.500,205.500
TTLin1,134116.000,183.250,183.250
Opto1,134154.250,224.750,204.750
TTLin1,134615.750,183.250,183.250
Opto1,134653.500,225.250,205.250
TTLin1,135115.500,183.250,183.250
Opto1,135153.750,224.750,204.750
TTLin1,135615.250,183.250,183.250
Opto1,135652.750,225.000,205.000
TTLin1,136115.000,183.000,183.000
Opto1,136153.000,224.750,204.750
TTLin1,136614.500,183.250,183.250
