Type,Onset,Duration,DurationCorrected
TTLin1,48018.000,5.000,5.000
Opto1,48042.000,224.500,204.500
TTLin1,48517.750,5.000,5.000
Opto1,48541.500,224.750,204.750
TTLin1,49017.500,5.000,5.000
Opto1,49041.500,224.250,204.250
TTLin1,49517.500,5.000,5.000
Opto1,49541.250,224.500,204.500
TTLin1,50017.500,5.000,5.000
Opto1,50040.750,224.500,204.500
TTLin1,50516.750,5.250,5.250
Opto1,50540.750,224.250,204.250
TTLin1,51016.750,5.250,5.250
Opto1,51040.250,224.500,204.500
TTLin1,51516.250,5.250,5.250
Opto1,51540.000,224.500,204.500
TTLin1,52016.250,5.000,5.000
Opto1,52039.750,224.500,204.500
TTLin1,52515.750,5.000,5.000
Opto1,52539.500,224.250,204.250
TTLin1,53015.500,5.000,5.000
Opto1,53039.000,224.500,204.500
TTLin1,53515.250,5.000,5.000
Opto1,53538.750,224.500,204.500
TTLin1,54015.000,5.250,5.250
Opto1,54038.500,224.500,204.500
TTLin1,54514.750,5.000,5.000
Opto1,54538.250,241.000,221.000
TTLin1,55031.000,5.000,5.000
Opto1,55054.500,224.500,204.500
TTLin1,55531.000,5.250,5.250
Opto1,55554.250,224.500,204.500
TTLin1,56030.750,5.000,5.000
Opto1,56054.000,224.500,204.500
TTLin1,56530.500,5.000,5.000
Opto1,56553.500,224.750,204.750
TTLin1,57030.000,5.000,5.000
Opto1,57053.500,224.250,204.250
TTLin1,57529.750,5.250,5.250
Opto1,57553.250,224.250,204.250
TTLin1,58029.500,5.000,5.000
Opto1,58053.000,224.250,204.250
TTLin1,58529.250,5.000,5.000
Opto1,58552.500,224.500,204.500
TTLin1,59029.000,5.000,5.000
Opto1,59052.250,224.250,204.250
TTLin1,59528.750,5.000,5.000
Opto1,59552.000,224.500,204.500
TTLin1,60028.500,5.000,5.000
Opto1,60051.750,224.500,204.500
TTLin1,60528.000,5.000,5.000
Opto1,60551.500,224.250,204.250
TTLin1,61027.750,5.250,5.250
Opto1,61051.000,224.500,204.500
TTLin1,61527.500,5.000,5.000
Opto1,61550.750,224.500,204.500
TTLin1,62027.000,5.250,5.250
Opto1,62050.500,224.500,204.500
TTLin1,62526.750,5.250,5.250
Opto1,62550.250,224.500,204.500
TTLin1,63026.500,5.000,5.000
Opto1,63050.000,224.250,204.250
TTLin1,63526.250,5.000,5.000
Opto1,63549.750,224.500,204.500
TTLin1,64026.000,5.000,5.000
Opto1,64049.500,224.250,204.250
TTLin1,64525.500,5.000,5.000
Opto1,64549.000,224.500,204.500
TTLin1,65025.250,5.000,5.000
Opto1,65049.000,224.250,204.250
TTLin1,65525.000,5.250,5.250
Opto1,65548.500,224.500,204.500
TTLin1,66024.750,5.000,5.000
Opto1,66048.250,224.250,204.250
TTLin1,66524.500,5.000,5.000
Opto1,66547.750,224.750,204.750
TTLin1,67024.250,5.000,5.000
Opto1,67047.500,224.500,204.500
TTLin1,67524.000,5.000,5.000
Opto1,67547.250,224.500,204.500
TTLin1,68023.750,5.000,5.000
Opto1,68047.000,224.500,204.500
TTLin1,68523.250,5.250,5.250
Opto1,68547.000,240.750,220.750
TTLin1,69040.500,5.000,5.000
Opto1,69063.250,224.250,204.250
TTLin1,69540.000,5.000,5.000
Opto1,69562.750,224.500,204.500
TTLin1,70039.750,5.000,5.000
Opto1,70062.750,224.250,204.250
TTLin1,70539.500,5.000,5.000
Opto1,70562.250,224.250,204.250
TTLin1,71039.250,5.000,5.000
Opto1,71062.000,224.250,204.250
TTLin1,71538.750,5.250,5.250
Opto1,71561.750,224.250,204.250
TTLin1,72038.500,5.000,5.000
Opto1,72061.250,224.750,204.750
TTLin1,72538.250,5.000,5.000
Opto1,72561.000,224.500,204.500
TTLin1,73038.000,5.250,5.250
Opto1,73060.750,224.500,204.500
TTLin1,73537.750,5.000,5.000
Opto1,73560.500,224.250,204.250
TTLin1,74037.500,5.000,5.000
Opto1,74060.250,224.500,204.500
TTLin1,74537.000,5.000,5.000
Opto1,74559.750,224.750,204.750
TTLin1,75036.750,5.250,5.250
Opto1,75059.750,224.250,204.250
TTLin1,75536.250,5.000,5.000
Opto1,75559.500,224.250,204.250
TTLin1,76036.250,5.250,5.250
Opto1,76059.250,224.250,204.250
TTLin1,76535.750,5.000,5.000
Opto1,76559.000,224.000,204.000
TTLin1,77035.500,5.000,5.000
Opto1,77058.750,224.000,204.000
TTLin1,77535.250,5.000,5.000
Opto1,77558.250,224.250,204.250
TTLin1,78035.000,5.250,5.250
Opto1,78057.750,224.500,204.500
TTLin1,78534.750,5.000,5.000
Opto1,78557.750,240.750,220.750
TTLin1,79050.750,5.000,5.000
Opto1,79074.000,224.500,204.500
TTLin1,79550.500,5.250,5.250
Opto1,79573.750,224.500,204.500
TTLin1,80050.250,5.000,5.000
Opto1,80073.500,224.250,204.250
TTLin1,80550.000,5.000,5.000
Opto1,80573.250,224.250,204.250
TTLin1,81049.750,5.000,5.000
Opto1,81073.000,224.250,204.250
TTLin1,81549.250,5.000,5.000
Opto1,81572.500,224.500,204.500
TTLin1,82049.000,5.000,5.000
Opto1,82072.250,224.250,204.250
TTLin1,82548.750,5.250,5.250
Opto1,82572.000,224.250,204.250
TTLin1,83048.500,5.000,5.000
Opto1,83071.500,224.750,204.750
TTLin1,83548.000,5.250,5.250
Opto1,83571.250,224.750,204.750
TTLin1,84048.000,5.000,5.000
Opto1,84071.000,224.500,204.500
TTLin1,84547.500,5.250,5.250
Opto1,84570.750,224.500,204.500
TTLin1,85047.250,5.000,5.000
Opto1,85070.500,224.500,204.500
TTLin1,85547.000,5.250,5.250
Opto1,85570.250,224.250,204.250
TTLin1,86046.500,5.250,5.250
Opto1,86070.000,224.500,204.500
TTLin1,86546.250,5.000,5.000
Opto1,86569.500,224.500,204.500
TTLin1,87046.000,5.000,5.000
Opto1,87069.250,224.500,204.500
TTLin1,87545.750,5.000,5.000
Opto1,87569.000,224.500,204.500
TTLin1,88045.500,5.000,5.000
Opto1,88068.750,224.500,204.500
TTLin1,88545.250,5.000,5.000
Opto1,88568.500,224.500,204.500
TTLin1,89044.750,5.250,5.250
Opto1,89068.250,224.500,204.500
TTLin1,89544.500,5.000,5.000
Opto1,89568.000,224.250,204.250
TTLin1,90044.250,5.000,5.000
Opto1,90067.500,224.500,204.500
TTLin1,90544.000,5.000,5.000
Opto1,90567.500,240.750,220.750
TTLin1,91060.250,5.000,5.000
Opto1,91083.750,224.500,204.500
TTLin1,91560.000,5.000,5.000
Opto1,91583.250,224.500,204.500
TTLin1,92059.750,5.000,5.000
Opto1,92083.000,224.500,204.500
TTLin1,92559.250,5.000,5.000
Opto1,92583.000,224.000,204.000
TTLin1,93059.000,5.250,5.250
Opto1,93082.500,224.500,204.500
TTLin1,93559.000,5.000,5.000
Opto1,93582.250,224.500,204.500
TTLin1,94058.500,5.250,5.250
Opto1,94082.000,224.500,204.500
TTLin1,94558.250,5.000,5.000
Opto1,94581.750,224.250,204.250
TTLin1,95058.000,5.000,5.000
Opto1,95081.500,224.250,204.250
TTLin1,95557.750,5.000,5.000
Opto1,95581.000,224.500,204.500
TTLin1,96057.250,5.250,5.250
Opto1,96081.000,224.250,204.250
TTLin1,96557.000,5.000,5.000
Opto1,96580.500,224.500,204.500
TTLin1,97056.750,5.000,5.000
Opto1,97080.250,224.250,204.250
TTLin1,97556.500,5.000,5.000
Opto1,97580.000,224.500,204.500
TTLin1,98056.250,5.000,5.000
Opto1,98079.750,224.250,204.250
TTLin1,98556.000,5.000,5.000
Opto1,98579.250,224.500,204.500
TTLin1,99055.500,5.000,5.000
Opto1,99079.250,224.250,204.250
TTLin1,99555.250,5.000,5.000
Opto1,99579.000,224.250,204.250
TTLin1,100055.000,5.000,5.000
Opto1,100078.500,224.250,204.250
TTLin1,100554.500,5.250,5.250
Opto1,100578.250,224.250,204.250
TTLin1,101054.500,5.000,5.000
Opto1,101078.000,224.250,204.250
TTLin1,101554.250,5.000,5.000
Opto1,101577.500,224.500,204.500
TTLin1,102056.000,5.000,5.000
Opto1,102077.500,224.000,204.000
TTLin1,102555.750,5.000,5.000
Opto1,102577.250,240.750,220.750
TTLin1,103069.250,5.000,5.000
Opto1,103093.250,224.750,204.750
TTLin1,103569.000,5.000,5.000
Opto1,103593.000,224.500,204.500
TTLin1,104068.750,5.250,5.250
Opto1,104092.750,224.500,204.500
TTLin1,104568.750,5.000,5.000
Opto1,104592.500,224.250,204.250
TTLin1,105069.250,5.000,5.000
Opto1,105092.250,224.500,204.500
TTLin1,105568.750,5.250,5.250
Opto1,105592.000,224.250,204.250
TTLin1,106068.500,5.250,5.250
Opto1,106091.500,224.500,204.500
TTLin1,106568.250,5.000,5.000
Opto1,106591.250,241.250,221.250
TTLin1,107081.500,5.000,5.000
Opto1,107108.000,224.250,204.250
TTLin1,107581.250,5.000,5.000
Opto1,107607.500,224.500,204.500
TTLin1,108081.500,5.000,5.000
Opto1,108107.000,224.500,204.500
TTLin1,108581.500,5.250,5.250
Opto1,108606.750,224.500,204.500
TTLin1,109081.500,5.250,5.250
Opto1,109106.750,224.250,204.250
TTLin1,109582.250,5.250,5.250
Opto1,109606.250,224.500,204.500
TTLin1,110082.000,5.000,5.000
Opto1,110106.250,224.250,204.250
TTLin1,110581.750,5.000,5.000
Opto1,110605.750,224.500,204.500
TTLin1,111081.500,5.000,5.000
Opto1,111105.500,224.250,204.250
TTLin1,111597.250,5.250,5.250
Opto1,111622.000,224.250,204.250
TTLin1,112097.250,5.000,5.000
Opto1,112121.500,224.250,204.250
TTLin1,112597.000,5.000,5.000
Opto1,112621.250,224.250,204.250
TTLin1,113096.500,5.000,5.000
Opto1,113121.000,224.500,204.500
TTLin1,113596.250,5.000,5.000
Opto1,113620.750,224.250,204.250
TTLin1,114096.000,5.000,5.000
Opto1,114120.250,224.500,204.500
TTLin1,114599.750,5.000,5.000
Opto1,114636.750,224.500,204.500
TTLin1,115112.000,5.000,5.000
Opto1,115136.500,224.250,204.250
TTLin1,115612.000,5.000,5.000
Opto1,115636.000,224.500,204.500
TTLin1,116111.750,5.250,5.250
Opto1,116135.750,224.500,204.500
TTLin1,116611.500,5.000,5.000
Opto1,116635.500,224.500,204.500
TTLin1,117111.500,5.000,5.000
Opto1,117135.250,224.500,204.500
TTLin1,117611.000,5.000,5.000
Opto1,117635.000,224.250,204.250
TTLin1,118111.000,5.250,5.250
Opto1,118134.750,224.250,204.250
TTLin1,118611.750,5.000,5.000
Opto1,118634.250,224.500,204.500
TTLin1,119111.250,5.000,5.000
Opto1,119134.250,224.250,204.250
TTLin1,119611.000,5.000,5.000
Opto1,119633.750,224.500,204.500
TTLin1,120110.750,5.000,5.000
Opto1,120133.750,224.000,204.000
TTLin1,120610.500,5.000,5.000
Opto1,120633.500,224.250,204.250
TTLin1,121110.000,5.250,5.250
Opto1,121133.000,224.250,204.250
TTLin1,121609.750,5.000,5.000
Opto1,121632.500,224.750,204.750
TTLin1,122109.500,5.250,5.250
Opto1,122132.500,224.250,204.250
TTLin1,122609.250,5.000,5.000
Opto1,122632.250,224.250,204.250
TTLin1,123109.000,5.000,5.000
Opto1,123132.000,224.250,204.250
TTLin1,123608.500,5.250,5.250
Opto1,123631.500,224.250,204.250
TTLin1,124108.250,5.250,5.250
Opto1,124131.250,224.500,204.500
TTLin1,124608.000,5.000,5.000
Opto1,124631.000,224.250,204.250
TTLin1,125107.750,5.000,5.000
Opto1,125130.750,224.500,204.500
TTLin1,125607.250,5.000,5.000
Opto1,125630.250,224.250,204.250
TTLin1,126107.000,5.250,5.250
Opto1,126130.000,224.500,204.500
TTLin1,126606.750,5.000,5.000
Opto1,126629.750,224.500,204.500
TTLin1,127106.500,5.250,5.250
Opto1,127129.500,224.250,204.250
TTLin1,127606.250,5.000,5.000
Opto1,127629.250,224.500,204.500
TTLin1,128106.000,5.000,5.000
Opto1,128129.000,224.250,204.250
TTLin1,128621.500,5.000,5.000
Opto1,128645.250,224.500,204.500
TTLin1,129121.500,5.000,5.000
Opto1,129145.250,224.000,204.000
TTLin1,129621.250,5.250,5.250
Opto1,129644.750,224.500,204.500
TTLin1,130121.000,5.000,5.000
Opto1,130144.500,224.250,204.250
TTLin1,130620.750,5.000,5.000
Opto1,130644.250,224.250,204.250
TTLin1,131120.500,5.000,5.000
Opto1,131143.750,224.500,204.500
TTLin1,131620.000,5.250,5.250
Opto1,131643.500,224.500,204.500
TTLin1,132119.750,5.000,5.000
Opto1,132143.250,224.500,204.500
TTLin1,132619.750,5.000,5.000
Opto1,132643.000,224.500,204.500
TTLin1,133119.500,5.000,5.000
Opto1,133142.750,224.500,204.500
TTLin1,133619.000,5.000,5.000
Opto1,133642.500,224.250,204.250
TTLin1,134118.750,5.000,5.000
Opto1,134142.250,224.250,204.250
TTLin1,134618.500,5.250,5.250
Opto1,134642.000,224.000,204.000
TTLin1,135118.250,5.000,5.000
Opto1,135141.500,224.250,204.250
TTLin1,135617.750,5.000,5.000
Opto1,135641.500,224.000,204.000
TTLin1,136117.500,5.250,5.250
Opto1,136141.000,224.250,204.250
TTLin1,136617.250,5.000,5.000
Opto1,136640.750,224.500,204.500
TTLin1,137117.000,5.000,5.000
Opto1,137140.500,224.250,204.250
TTLin1,137616.500,5.250,5.250
Opto1,137640.250,224.250,204.250
TTLin1,138116.250,5.250,5.250
Opto1,138139.750,224.500,204.500
TTLin1,138630.750,5.250,5.250
Opto1,138656.000,224.500,204.500
TTLin1,139130.750,5.000,5.000
Opto1,139156.000,224.250,204.250
TTLin1,139630.250,5.250,5.250
Opto1,139655.500,224.500,204.500
TTLin1,140130.250,5.000,5.000
Opto1,140155.500,224.000,204.000
TTLin1,140630.750,5.000,5.000
Opto1,140655.000,224.250,204.250
TTLin1,141132.000,5.000,5.000
Opto1,141154.750,224.500,204.500
TTLin1,141631.750,5.000,5.000
Opto1,141654.500,224.250,204.250
TTLin1,142131.500,5.000,5.000
Opto1,142154.000,224.500,204.500
TTLin1,142631.000,5.000,5.000
Opto1,142654.000,224.250,204.250
TTLin1,143130.750,5.000,5.000
Opto1,143153.750,224.250,204.250
TTLin1,143630.500,5.250,5.250
Opto1,143653.250,224.500,204.500
TTLin1,144130.250,5.000,5.000
Opto1,144153.000,224.500,204.500
TTLin1,144630.000,5.000,5.000
Opto1,144652.750,224.250,204.250
TTLin1,145129.750,5.000,5.000
Opto1,145152.250,224.500,204.500
TTLin1,145629.250,5.250,5.250
Opto1,145652.250,224.250,204.250
TTLin1,146129.000,5.250,5.250
Opto1,146151.750,224.500,204.500
TTLin1,146628.750,5.250,5.250
Opto1,146651.500,224.500,204.500
TTLin1,147128.500,5.000,5.000
Opto1,147151.500,224.250,204.250
TTLin1,147628.000,5.000,5.000
Opto1,147651.000,224.250,204.250
TTLin1,148127.750,5.000,5.000
Opto1,148150.750,224.500,204.500
TTLin1,148627.500,5.250,5.250
Opto1,148650.500,224.250,204.250
TTLin1,149127.250,5.000,5.000
Opto1,149150.250,224.250,204.250
TTLin1,149627.000,5.000,5.000
Opto1,149649.750,224.500,204.500
TTLin1,150126.750,5.000,5.000
Opto1,150149.750,224.250,204.250
TTLin1,150641.500,5.000,5.000
Opto1,150665.750,224.250,204.250
TTLin1,151141.750,5.000,5.000
Opto1,151165.750,224.000,204.000
TTLin1,151641.750,5.000,5.000
Opto1,151665.250,224.500,204.500
TTLin1,152141.500,5.000,5.000
Opto1,152165.000,224.250,204.250
TTLin1,152641.000,5.250,5.250
Opto1,152664.750,224.500,204.500
TTLin1,153141.000,5.000,5.000
Opto1,153164.500,224.250,204.250
TTLin1,153640.500,5.250,5.250
Opto1,153664.250,224.250,204.250
TTLin1,154140.500,5.000,5.000
Opto1,154164.000,224.250,204.250
TTLin1,154640.000,5.000,5.000
Opto1,154663.500,224.500,204.500
TTLin1,155139.750,5.250,5.250
Opto1,155163.250,224.500,204.500
TTLin1,155639.500,5.000,5.000
Opto1,155663.000,224.250,204.250
TTLin1,156139.250,5.000,5.000
Opto1,156162.750,224.250,204.250
TTLin1,156639.000,5.000,5.000
Opto1,156662.500,224.250,204.250
TTLin1,157138.500,5.250,5.250
Opto1,157162.250,224.250,204.250
TTLin1,157638.500,5.000,5.000
Opto1,157662.000,224.250,204.250
TTLin1,158138.000,5.250,5.250
Opto1,158161.750,224.000,204.000
TTLin1,158637.750,5.250,5.250
Opto1,158661.250,224.250,204.250
TTLin1,159137.500,5.000,5.000
Opto1,159161.000,224.500,204.500
TTLin1,159637.250,5.000,5.000
Opto1,159660.750,224.250,204.250
TTLin1,160136.750,5.250,5.250
Opto1,160160.500,224.250,204.250
TTLin1,160636.750,5.000,5.000
Opto1,160660.250,224.250,204.250
TTLin1,161136.500,5.000,5.000
Opto1,161159.750,224.500,204.500
TTLin1,161636.000,5.250,5.250
Opto1,161659.500,224.500,204.500
TTLin1,162135.750,5.000,5.000
Opto1,162159.250,224.500,204.500
TTLin1,162635.500,5.000,5.000
Opto1,162659.000,224.250,204.250
TTLin1,163135.250,5.000,5.000
Opto1,163158.750,224.250,204.250
TTLin1,163635.000,5.000,5.000
Opto1,163658.250,224.500,204.500
TTLin1,164134.500,5.250,5.250
Opto1,164158.000,224.250,204.250
TTLin1,164634.250,5.000,5.000
Opto1,164658.000,240.750,220.750
TTLin1,165147.250,5.000,5.000
Opto1,165174.250,224.250,204.250
TTLin1,165647.000,5.000,5.000
Opto1,165673.750,224.500,204.500
TTLin1,166148.000,5.250,5.250
Opto1,166173.500,224.500,204.500
TTLin1,166648.000,5.000,5.000
Opto1,166673.500,224.250,204.250
TTLin1,167148.250,5.000,5.000
Opto1,167173.000,224.250,204.250
TTLin1,167648.000,5.000,5.000
Opto1,167672.750,224.250,204.250
TTLin1,168149.250,5.000,5.000
Opto1,168172.250,224.500,204.500
TTLin1,168649.000,5.000,5.000
Opto1,168672.250,224.250,204.250
TTLin1,169148.500,5.000,5.000
Opto1,169171.750,224.500,204.500
TTLin1,169648.250,5.000,5.000
Opto1,169671.750,224.000,204.000
TTLin1,170148.000,5.000,5.000
Opto1,170171.250,224.250,204.250
TTLin1,170647.500,5.250,5.250
Opto1,170671.000,224.250,204.250
TTLin1,171147.500,5.000,5.000
Opto1,171170.500,224.500,204.500
TTLin1,171647.000,5.000,5.000
Opto1,171670.250,224.500,204.500
TTLin1,172146.750,5.000,5.000
Opto1,172170.000,224.500,204.500
TTLin1,172646.500,5.000,5.000
Opto1,172669.750,224.500,204.500
TTLin1,173146.000,5.000,5.000
Opto1,173169.500,224.250,204.250
TTLin1,173645.750,5.000,5.000
Opto1,173669.250,224.500,204.500
TTLin1,174145.500,5.250,5.250
Opto1,174169.000,224.500,204.500
TTLin1,174661.000,5.250,5.250
Opto1,174685.250,224.500,204.500
TTLin1,175161.250,5.000,5.000
Opto1,175185.000,224.250,204.250
TTLin1,175661.000,5.000,5.000
Opto1,175684.750,224.250,204.250
TTLin1,176160.750,5.000,5.000
Opto1,176184.500,224.250,204.250
TTLin1,176660.750,5.000,5.000
Opto1,176684.250,224.250,204.250
TTLin1,177160.250,5.250,5.250
Opto1,177184.000,224.250,204.250
TTLin1,177660.000,5.000,5.000
Opto1,177683.500,224.500,204.500
TTLin1,178159.750,5.000,5.000
Opto1,178183.500,224.250,204.250
TTLin1,178659.500,5.000,5.000
Opto1,178683.000,224.000,204.000
TTLin1,179159.250,5.000,5.000
Opto1,179182.750,224.500,204.500
TTLin1,179659.000,5.000,5.000
Opto1,179682.500,224.250,204.250
TTLin1,180158.500,5.250,5.250
Opto1,180182.250,224.250,204.250
TTLin1,180658.500,5.000,5.000
Opto1,180681.750,224.500,204.500
TTLin1,181158.000,5.000,5.000
Opto1,181181.500,224.250,204.250
TTLin1,181657.750,5.000,5.000
Opto1,181681.000,224.750,204.750
TTLin1,182157.500,5.000,5.000
Opto1,182181.000,224.250,204.250
TTLin1,182657.250,5.000,5.000
Opto1,182680.750,224.250,204.250
TTLin1,183157.000,5.250,5.250
Opto1,183180.250,224.500,204.500
TTLin1,183656.750,5.000,5.000
Opto1,183680.250,224.250,204.250
TTLin1,184156.250,5.250,5.250
Opto1,184179.750,224.250,204.250
TTLin1,184656.000,5.250,5.250
Opto1,184679.750,224.250,204.250
TTLin1,185155.750,5.000,5.000
Opto1,185179.250,224.500,204.500
TTLin1,185655.500,5.000,5.000
Opto1,185679.000,224.250,204.250
TTLin1,186155.250,5.000,5.000
Opto1,186178.500,224.500,204.500
TTLin1,186655.000,5.000,5.000
Opto1,186678.500,224.250,204.250
TTLin1,187155.750,5.250,5.250
Opto1,187178.250,224.250,204.250
TTLin1,187655.500,5.000,5.000
Opto1,187677.750,224.250,204.250
TTLin1,188155.250,5.250,5.250
Opto1,188177.500,224.500,204.500
TTLin1,188670.250,5.000,5.000
Opto1,188710.500,224.500,204.500
TTLin1,189184.500,5.000,5.000
Opto1,189210.250,224.250,204.250
TTLin1,189684.000,5.000,5.000
Opto1,189710.000,224.250,204.250
TTLin1,190183.750,5.000,5.000
Opto1,190209.750,224.250,204.250
TTLin1,190684.250,5.000,5.000
Opto1,190709.250,224.500,204.500
TTLin1,191184.000,5.250,5.250
Opto1,191209.250,224.250,204.250
TTLin1,191686.250,5.000,5.000
Opto1,191708.750,224.250,204.250
TTLin1,192186.000,5.000,5.000
Opto1,192208.500,224.500,204.500
TTLin1,192685.750,5.000,5.000
Opto1,192708.250,224.250,204.250
TTLin1,193185.500,5.000,5.000
Opto1,193207.750,224.750,204.750
TTLin1,193685.000,5.250,5.250
