Type,Onset,Duration,DurationCorrected
TTLin1,48036.500,183.250,183.250
Opto1,48060.000,224.500,204.500
TTLin1,48536.000,183.250,183.250
Opto1,48559.750,224.500,204.500
TTLin1,49035.750,183.250,183.250
Opto1,49059.250,224.750,204.750
TTLin1,49535.500,183.250,183.250
Opto1,49559.250,224.500,204.500
TTLin1,50035.250,183.250,183.250
Opto1,50058.750,224.500,204.500
TTLin1,50535.000,183.000,183.000
Opto1,50558.500,224.500,204.500
TTLin1,51034.500,183.250,183.250
Opto1,51058.250,224.500,204.500
TTLin1,51534.250,183.250,183.250
Opto1,51558.000,224.500,204.500
TTLin1,52034.000,183.250,183.250
Opto1,52057.750,224.250,204.250
TTLin1,52533.750,183.250,183.250
Opto1,52557.250,224.500,204.500
TTLin1,53033.500,183.250,183.250
Opto1,53057.000,224.500,204.500
TTLin1,53533.000,183.250,183.250
Opto1,53556.750,224.500,204.500
TTLin1,54032.750,183.250,183.250
Opto1,54056.500,224.500,204.500
TTLin1,54532.500,183.250,183.250
Opto1,54556.250,224.500,204.500
TTLin1,55032.250,183.250,183.250
Opto1,55055.750,224.500,204.500
TTLin1,55531.750,183.250,183.250
Opto1,55555.750,224.250,204.250
TTLin1,56031.500,183.250,183.250
Opto1,56055.250,224.500,204.500
TTLin1,56531.250,183.250,183.250
Opto1,56555.000,224.500,204.500
TTLin1,57031.000,183.250,183.250
Opto1,57054.750,224.500,204.500
TTLin1,57530.750,183.250,183.250
Opto1,57554.500,224.500,204.500
TTLin1,58030.500,183.000,183.000
Opto1,58054.250,224.500,204.500
TTLin1,58530.000,183.250,183.250
Opto1,58554.000,224.250,204.250
TTLin1,59029.750,183.250,183.250
Opto1,59053.500,224.500,204.500
TTLin1,59545.250,183.500,183.500
Opto1,59570.000,224.250,204.250
TTLin1,60045.250,198.500,198.500
Opto1,60069.500,241.250,221.250
TTLin1,60560.500,183.250,183.250
Opto1,60586.000,224.500,204.500
TTLin1,61060.250,183.000,183.000
Opto1,61085.750,224.500,204.500
TTLin1,61559.750,183.750,183.750
Opto1,61585.500,224.250,204.250
TTLin1,62060.250,183.250,183.250
Opto1,62085.250,224.500,204.500
TTLin1,62560.000,183.000,183.000
Opto1,62585.000,224.500,204.500
TTLin1,63059.750,184.500,184.500
Opto1,63084.750,224.500,204.500
TTLin1,63560.750,183.250,183.250
Opto1,63584.250,224.500,204.500
TTLin1,64060.500,183.000,183.000
Opto1,64084.000,224.500,204.500
TTLin1,64560.000,183.250,183.250
Opto1,64583.750,224.250,204.250
TTLin1,65059.750,183.250,183.250
Opto1,65083.250,224.500,204.500
TTLin1,65559.500,183.250,183.250
Opto1,65583.000,224.500,204.500
TTLin1,66059.250,184.250,184.250
Opto1,66083.000,224.250,204.250
TTLin1,66559.750,183.250,183.250
Opto1,66582.750,224.250,204.250
TTLin1,67059.500,183.250,183.250
Opto1,67082.250,224.250,204.250
TTLin1,67559.250,183.250,183.250
Opto1,67582.000,224.500,204.500
TTLin1,68059.000,183.250,183.250
Opto1,68081.750,224.250,204.250
TTLin1,68558.750,183.250,183.250
Opto1,68581.500,224.250,204.250
TTLin1,69058.250,196.500,196.500
Opto1,69097.750,224.500,204.500
TTLin1,69571.250,183.250,183.250
Opto1,69597.500,224.500,204.500
TTLin1,70071.000,183.250,183.250
Opto1,70097.250,224.250,204.250
TTLin1,70587.000,183.250,183.250
Opto1,70613.500,224.500,204.500
TTLin1,71087.750,183.250,183.250
Opto1,71113.250,224.500,204.500
TTLin1,71587.250,183.250,183.250
Opto1,71613.000,224.500,204.500
TTLin1,72088.500,183.250,183.250
Opto1,72112.750,224.500,204.500
