stimulus	nblettres	freqlemfilms2	ifreq	wtype	word
cassette	8	32.4	2	0	cassette
vendredi	8	32.49	2	0	vendredi
autorité	8	32.95	2	0	autorité
décevoir	8	33.23	2	0	décevoir
trembler	8	34.13	2	0	trembler
réserver	8	34.31	2	0	réserver
identité	8	34.78	2	0	identité
pistolet	8	34.92	2	0	pistolet
victoire	8	34.96	2	0	victoire
champion	8	35.02	2	0	champion
continue	8	35.19	2	0	continue
créature	8	35.22	2	0	créature
soutenir	8	35.56	2	0	soutenir
démarrer	8	35.67	2	0	démarrer
examiner	8	36.36	2	0	examiner
indiquer	8	36.49	2	0	indiquer
carrière	8	36.54	2	0	carrière
ordonner	8	36.73	2	0	ordonner
effrayer	8	37.04	2	0	effrayer
informer	8	37.42	2	0	informer
pantalon	8	37.55	2	0	pantalon
promener	8	37.8	2	0	promener
tribunal	8	37.98	2	0	tribunal
déplacer	8	38.63	2	0	déplacer
convenir	8	38.82	2	0	convenir
résister	8	38.91	2	0	résister
collègue	8	38.93	2	0	collègue
innocent	8	39.31	2	0	innocent
disputer	8	39.31	2	0	disputer
retraite	8	39.45	2	0	retraite
puissant	8	39.99	2	0	puissant
gare	4	42.15	3	0	gare
stop	4	44.5	3	0	stop
sort	4	44.8	3	0	sort
mine	4	48.08	3	0	mine
toit	4	49.01	3	0	toit
code	4	51.27	3	0	code
vert	4	52.59	3	0	vert
dire	4	53.88	3	0	dire
zone	4	53.94	3	0	zone
test	4	55.38	3	0	test
voie	4	56.06	3	0	voie
pont	4	56.43	3	0	pont
bête	4	56.55	3	0	bête
acte	4	56.81	3	0	acte
goût	4	57.94	3	0	goût
base	4	59.22	3	0	base
neuf	4	59.45	3	0	neuf
lait	4	59.62	3	0	lait
vide	4	60.33	3	0	vide
lune	4	61.02	3	0	lune
note	4	62.82	3	0	note
taxi	4	63.77	3	0	taxi
juge	4	66.45	3	0	juge
club	4	67.51	3	0	club
pain	4	67.58	3	0	pain
tort	4	67.97	3	0	tort
haut	4	68.05	3	0	haut
ange	4	69.27	3	0	ange
bleu	4	70.61	3	0	bleu
cour	4	71.8	3	0	cour
hors	4	71.94	3	0	hors
soin	4	71.99	3	0	soin
dent	4	74.2	3	0	dent
bain	4	74.48	3	0	bain
joie	4	75.09	3	0	joie
fuir	4	76.82	3	0	fuir
vent	4	77.34	3	0	vent
fier	4	79.13	3	0	fier
près	4	79.53	3	0	près
bord	4	79.9	3	0	bord
robe	4	84.43	3	0	robe
peau	4	87.47	3	0	peau
doux	4	89.14	3	0	doux
mort	4	89.29	3	0	mort
oser	4	90.2	3	0	oser
trou	4	90.72	3	0	trou
chat	4	93	3	0	chat
fort	4	95.28	3	0	fort
pire	4	98.83	3	0	pire
coin	4	99.51	3	0	coin
geste	5	40.78	3	0	geste
front	5	41.03	3	0	front
titre	5	41.35	3	0	titre
leçon	5	41.48	3	0	leçon
malin	5	41.49	3	0	malin
punir	5	41.7	3	0	punir
pomme	5	42.35	3	0	pomme
lycée	5	42.56	3	0	lycée
mètre	5	43.49	3	0	mètre
étude	5	44.22	3	0	étude
adieu	5	44.44	3	0	adieu
utile	5	44.99	3	0	utile
obéir	5	45.12	3	0	obéir
désir	5	45.35	3	0	désir
ombre	5	45.67	3	0	ombre
larme	5	45.71	3	0	larme
objet	5	45.94	3	0	objet
pluie	5	46.1	3	0	pluie
frais	5	46.43	3	0	frais
louer	5	48.08	3	0	louer
plage	5	48.19	3	0	plage
repas	5	48.53	3	0	repas
fusil	5	48.61	3	0	fusil
bénir	5	48.77	3	0	bénir
souci	5	49.47	3	0	souci
odeur	5	49.57	3	0	odeur
poche	5	49.65	3	0	poche
tombe	5	49.67	3	0	tombe
crise	5	50.15	3	0	crise
moyen	5	50.69	3	0	moyen
arrêt	5	50.88	3	0	arrêt
danse	5	51.23	3	0	danse
usine	5	51.59	3	0	usine
piste	5	51.77	3	0	piste
folie	5	52.39	3	0	folie
mêler	5	53.84	3	0	mêler
genou	5	54.24	3	0	genou
juger	5	56.12	3	0	juger
faîte	5	56.42	3	0	faîte
champ	5	57.22	3	0	champ
gêner	5	57.76	3	0	gêner
reine	5	59.05	3	0	reine
trace	5	60.18	3	0	trace
taper	5	61.07	3	0	taper
match	5	63.48	3	0	match
époux	5	65.34	3	0	époux
calme	5	66.57	3	0	calme
glace	5	66.82	3	0	glace
parmi	5	69.17	3	0	parmi
liste	5	71.56	3	0	liste
ravir	5	72.67	3	0	ravir
riche	5	73.85	3	0	riche
laver	5	74.35	3	0	laver
durer	5	74.39	3	0	durer
pitié	5	76.38	3	0	pitié
héros	5	76.58	3	0	héros
tante	5	76.62	3	0	tante
ennui	5	76.64	3	0	ennui
droit	5	77.74	3	0	droit
radio	5	78.23	3	0	radio
bande	5	78.36	3	0	bande
chéri	5	78.54	3	0	chéri
règle	5	79.51	3	0	règle
rater	5	80.45	3	0	rater
selon	5	81.4	3	0	selon
bière	5	81.67	3	0	bière
arbre	5	81.69	3	0	arbre
image	5	82.13	3	0	image
signe	5	82.73	3	0	signe
poste	5	82.87	3	0	poste
chaud	5	84.16	3	0	chaud
créer	5	85.17	3	0	créer
doigt	5	85.69	3	0	doigt
virer	5	86.3	3	0	virer
exact	5	86.8	3	0	exact
santé	5	88.69	3	0	santé
boîte	5	88.81	3	0	boîte
enfer	5	88.86	3	0	enfer
ligne	5	89.83	3	0	ligne
forme	5	94.19	3	0	forme
fumer	5	98.49	3	0	fumer
fleur	5	99.75	3	0	fleur
mener	5	99.86	3	0	mener
chaise	6	40.02	3	0	chaise
filmer	6	40.08	3	0	filmer
nombre	6	40.16	3	0	nombre
marque	6	40.29	3	0	marque
alcool	6	41.3	3	0	alcool
rompre	6	41.37	3	0	rompre
réunir	6	41.93	3	0	réunir
oeuvre	6	41.96	3	0	oeuvre
effort	6	42.7	3	0	effort
taille	6	43.17	3	0	taille
espace	6	43.87	3	0	espace
viande	6	44.43	3	0	viande
jaloux	6	44.67	3	0	jaloux
guérir	6	44.73	3	0	guérir
public	6	44.81	3	0	public
mordre	6	44.85	3	0	mordre
paquet	6	44.96	3	0	paquet
saluer	6	45.09	3	0	saluer
valeur	6	45.4	3	0	valeur
procès	6	45.41	3	0	procès
unique	6	45.43	3	0	unique
nommer	6	45.6	3	0	nommer
presse	6	45.77	3	0	presse
siècle	6	45.77	3	0	siècle
gauche	6	45.88	3	0	gauche
source	6	46.44	3	0	source
malgré	6	46.5	3	0	malgré
samedi	6	46.53	3	0	samedi
fâcher	6	46.63	3	0	fâcher
trahir	6	46.83	3	0	trahir
ventre	6	46.91	3	0	ventre
couler	6	47.56	3	0	couler
examen	6	47.77	3	0	examen
sortie	6	47.81	3	0	sortie
chasse	6	47.99	3	0	chasse
hasard	6	48.07	3	0	hasard
montre	6	48.4	3	0	montre
rapide	6	48.73	3	0	rapide
énorme	6	49.27	3	0	énorme
gâcher	6	49.57	3	0	gâcher
couple	6	49.62	3	0	couple
trésor	6	49.92	3	0	trésor
niveau	6	50.7	3	0	niveau
serrer	6	50.99	3	0	serrer
valise	6	50.99	3	0	valise
coller	6	51.31	3	0	coller
élever	6	52.03	3	0	élever
second	6	52.5	3	0	second
destin	6	53.03	3	0	destin
marche	6	53.17	3	0	marche
étoile	6	54.63	3	0	étoile
métier	6	55.03	3	0	métier
gâteau	6	55.19	3	0	gâteau
briser	6	55.2	3	0	briser
proche	6	55.34	3	0	proche
pardon	6	55.62	3	0	pardon
détail	6	55.78	3	0	détail
membre	6	56.06	3	0	membre
caméra	6	56.18	3	0	caméra
livrer	6	56.53	3	0	livrer
centre	6	57	3	0	centre
devant	6	59.06	3	0	devant
camion	6	59.46	3	0	camion
jardin	6	60.21	3	0	jardin
regard	6	61.35	3	0	regard
avouer	6	61.56	3	0	avouer
excuse	6	61.58	3	0	excuse
rouler	6	61.82	3	0	rouler
prêter	6	62	3	0	prêter
secret	6	62.68	3	0	secret
cinéma	6	63.49	3	0	cinéma
devoir	6	63.59	3	0	devoir
causer	6	63.66	3	0	causer
espoir	6	64.22	3	0	espoir
forcer	6	64.64	3	0	forcer
église	6	64.75	3	0	église
combat	6	64.83	3	0	combat
enfuir	6	65.13	3	0	enfuir
pierre	6	67.17	3	0	pierre
cesser	6	68.11	3	0	cesser
époque	6	68.44	3	0	époque
colère	6	68.9	3	0	colère
langue	6	69.11	3	0	langue
avance	6	69.25	3	0	avance
risque	6	69.33	3	0	risque
projet	6	69.59	3	0	projet
mignon	6	69.71	3	0	mignon
course	6	72.48	3	0	course
laisse	6	72.53	3	0	laisse
beauté	6	72.56	3	0	beauté
avenir	6	72.61	3	0	avenir
blague	6	72.63	3	0	blague
ancien	6	73.16	3	0	ancien
sonner	6	73.67	3	0	sonner
cousin	6	73.87	3	0	cousin
acteur	6	74.77	3	0	acteur
témoin	6	74.78	3	0	témoin
entier	6	76.01	3	0	entier
bosser	6	76.28	3	0	bosser
dedans	6	76.55	3	0	dedans
oiseau	6	77.73	3	0	oiseau
douter	6	77.77	3	0	douter
classe	6	78.99	3	0	classe
banque	6	79.35	3	0	banque
tenter	6	79.75	3	0	tenter
danger	6	80.61	3	0	danger
parier	6	81.96	3	0	parier
coûter	6	83.15	3	0	coûter
billet	6	83.87	3	0	billet
régler	6	85.81	3	0	régler
autour	6	87.02	3	0	autour
éviter	6	87.47	3	0	éviter
bouche	6	90.03	3	0	bouche
debout	6	91.81	3	0	debout
ficher	6	97.84	3	0	ficher
signer	6	98.19	3	0	signer
prince	6	98.9	3	0	prince
visite	6	99.95	3	0	visite
vitesse	7	40.12	3	0	vitesse
appuyer	7	40.95	3	0	appuyer
éclater	7	41.33	3	0	éclater
théâtre	7	41.49	3	0	théâtre
confier	7	41.5	3	0	confier
annuler	7	42.11	3	0	annuler
profond	7	42.41	3	0	profond
cellule	7	42.98	3	0	cellule
énergie	7	43.06	3	0	énergie
majesté	7	43.43	3	0	majesté
abattre	7	43.47	3	0	abattre
chemise	7	43.66	3	0	chemise
château	7	43.68	3	0	château
marquer	7	43.78	3	0	marquer
faillir	7	44.19	3	0	faillir
article	7	44.45	3	0	article
sommeil	7	44.53	3	0	sommeil
voyager	7	45.74	3	0	voyager
joindre	7	46.37	3	0	joindre
volonté	7	47.08	3	0	volonté
fantôme	7	48.23	3	0	fantôme
menacer	7	49.63	3	0	menacer
tableau	7	50.11	3	0	tableau
moindre	7	50.12	3	0	moindre
nerveux	7	50.4	3	0	nerveux
défense	7	50.94	3	0	défense
justice	7	50.96	3	0	justice
costume	7	51.42	3	0	costume
reculer	7	52.15	3	0	reculer
presser	7	52.28	3	0	presser
nourrir	7	52.53	3	0	nourrir
terrain	7	52.58	3	0	terrain
accuser	7	52.72	3	0	accuser
urgence	7	53.03	3	0	urgence
déposer	7	53.09	3	0	déposer
contrat	7	53.23	3	0	contrat
méchant	7	53.37	3	0	méchant
superbe	7	53.42	3	0	superbe
étonner	7	53.63	3	0	étonner
présent	7	53.7	3	0	présent
énerver	7	53.83	3	0	énerver
honnête	7	53.89	3	0	honnête
écraser	7	54.42	3	0	écraser
respect	7	54.78	3	0	respect
allumer	7	54.8	3	0	allumer
attirer	7	54.91	3	0	attirer
chapeau	7	54.91	3	0	chapeau
chasser	7	54.93	3	0	chasser
environ	7	55.55	3	0	environ
miracle	7	56.89	3	0	miracle
malheur	7	56.89	3	0	malheur
coincer	7	56.95	3	0	coincer
enquête	7	57.98	3	0	enquête
couteau	7	58.15	3	0	couteau
refaire	7	58.27	3	0	refaire
attaque	7	59.92	3	0	attaque
magasin	7	60.62	3	0	magasin
mémoire	7	60.87	3	0	mémoire
planète	7	61.11	3	0	planète
remplir	7	61.21	3	0	remplir
cerveau	7	61.59	3	0	cerveau
ennuyer	7	62.48	3	0	ennuyer
grandir	7	63.99	3	0	grandir
demande	7	64.64	3	0	demande
morceau	7	64.78	3	0	morceau
diriger	7	65.1	3	0	diriger
traîner	7	65.49	3	0	traîner
dommage	7	65.59	3	0	dommage
travers	7	65.6	3	0	travers
désirer	7	65.63	3	0	désirer
maladie	7	66.04	3	0	maladie
séparer	7	66.22	3	0	séparer
réparer	7	67.7	3	0	réparer
machine	7	67.72	3	0	machine
engager	7	68.22	3	0	engager
contact	7	69.85	3	0	contact
courage	7	70.73	3	0	courage
étudier	7	70.9	3	0	étudier
retenir	7	71.58	3	0	retenir
stupide	7	71.75	3	0	stupide
manière	7	72.31	3	0	manière
deviner	7	72.77	3	0	deviner
oreille	7	73.54	3	0	oreille
adresse	7	73.92	3	0	adresse
société	7	75.46	3	0	société
libérer	7	75.77	3	0	libérer
douleur	7	75.89	3	0	douleur
capable	7	76.85	3	0	capable
système	7	76.92	3	0	système
prévoir	7	78.22	3	0	prévoir
bonheur	7	78.74	3	0	bonheur
dossier	7	78.91	3	0	dossier
liberté	7	79.53	3	0	liberté
retirer	7	80.26	3	0	retirer
intérêt	7	81.09	3	0	intérêt
poisson	7	81.51	3	0	poisson
couleur	7	82.25	3	0	couleur
spécial	7	83.73	3	0	spécial
chanson	7	84.92	3	0	chanson
mission	7	85.24	3	0	mission
étrange	7	85.61	3	0	étrange
conseil	7	87.14	3	0	conseil
cuisine	7	87.92	3	0	cuisine
obtenir	7	88.08	3	0	obtenir
couvrir	7	88.29	3	0	couvrir
prouver	7	88.83	3	0	prouver
fenêtre	7	90.55	3	0	fenêtre
obliger	7	91.63	3	0	obliger
charger	7	93.02	3	0	charger
exemple	7	93.2	3	0	exemple
reposer	7	95.2	3	0	reposer
avancer	7	95.62	3	0	avancer
village	7	95.82	3	0	village
mériter	7	97.06	3	0	mériter
réponse	7	97.06	3	0	réponse
répéter	7	98.31	3	0	répéter
balancer	8	40.12	3	0	balancer
résoudre	8	40.95	3	0	résoudre
allonger	8	41.05	3	0	allonger
éloigner	8	41.15	3	0	éloigner
allemand	8	41.32	3	0	allemand
ministre	8	41.41	3	0	ministre
violence	8	41.45	3	0	violence
déclarer	8	41.59	3	0	déclarer
renoncer	8	41.65	3	0	renoncer
blessure	8	41.81	3	0	blessure
insister	8	42.16	3	0	insister
fouiller	8	42.37	3	0	fouiller
dépasser	8	42.62	3	0	dépasser
observer	8	42.66	3	0	observer
posséder	8	42.76	3	0	posséder
ramasser	8	43.76	3	0	ramasser
deuxième	8	43.97	3	0	deuxième
détendre	8	44.39	3	0	détendre
présence	8	45.03	3	0	présence
attacher	8	46.37	3	0	attacher
endormir	8	48.19	3	0	endormir
enceinte	8	48.6	3	0	enceinte
produire	8	49.81	3	0	produire
admettre	8	50.05	3	0	admettre
campagne	8	51.12	3	0	campagne
déjeuner	8	51.34	3	0	déjeuner
appareil	8	51.53	3	0	appareil
accorder	8	52.27	3	0	accorder
supplier	8	53.66	3	0	supplier
exploser	8	53.79	3	0	exploser
inventer	8	53.96	3	0	inventer
arracher	8	54.19	3	0	arracher
charmant	8	54.51	3	0	charmant
officier	8	55.35	3	0	officier
annoncer	8	55.67	3	0	annoncer
éteindre	8	57.32	3	0	éteindre
habiller	8	58.27	3	0	habiller
enfermer	8	58.81	3	0	enfermer
repartir	8	58.84	3	0	repartir
renvoyer	8	59.22	3	0	renvoyer
résultat	8	59.47	3	0	résultat
parfaire	8	60.06	3	0	parfaire
dépendre	8	60.33	3	0	dépendre
mensonge	8	61.05	3	0	mensonge
plaindre	8	61.25	3	0	plaindre
ridicule	8	61.57	3	0	ridicule
occasion	8	61.89	3	0	occasion
nettoyer	8	61.95	3	0	nettoyer
solution	8	61.96	3	0	solution
montagne	8	62.01	3	0	montagne
toilette	8	62.84	3	0	toilette
souvenir	8	63.24	3	0	souvenir
survivre	8	63.62	3	0	survivre
enterrer	8	63.68	3	0	enterrer
quartier	8	65.7	3	0	quartier
contrôle	8	66.28	3	0	contrôle
pleuvoir	8	67.17	3	0	pleuvoir
profiter	8	67.2	3	0	profiter
horrible	8	67.22	3	0	horrible
emporter	8	69.02	3	0	emporter
proposer	8	70.02	3	0	proposer
réaliser	8	71.27	3	0	réaliser
remonter	8	71.33	3	0	remonter
derrière	8	73.39	3	0	derrière
relation	8	74.95	3	0	relation
respirer	8	76.08	3	0	respirer
camarade	8	77.81	3	0	camarade
fatiguer	8	78.25	3	0	fatiguer
défendre	8	78.55	3	0	défendre
partager	8	79.08	3	0	partager
vaisseau	8	83.39	3	0	vaisseau
terrible	8	87.66	3	0	terrible
échapper	8	95.07	3	0	échapper
pourtant	8	95.8	3	0	pourtant
discuter	8	96.42	3	0	discuter
habitude	8	98.22	3	0	habitude
attaquer	8	99.63	3	0	attaquer
fond	4	110.07	4	0	fond
dame	4	111.2	4	0	dame
camp	4	114.93	4	0	camp
faux	4	122.23	4	0	faux
face	4	125.32	4	0	face
prix	4	126.55	4	0	prix
faim	4	128.04	4	0	faim
voix	4	130.83	4	0	voix
avis	4	139.22	4	0	avis
ciel	4	142.32	4	0	ciel
noir	4	144.81	4	0	noir
paix	4	144.86	4	0	paix
état	4	145.72	4	0	état
sale	4	146.86	4	0	sale
bras	4	149.26	4	0	bras
fête	4	155.97	4	0	fête
rêve	4	158.75	4	0	rêve
long	4	164.02	4	0	long
aide	4	175.59	4	0	aide
lieu	4	182	4	0	lieu
bébé	4	191.63	4	0	bébé
tour	4	193.82	4	0	tour
agir	4	195.94	4	0	agir
pays	4	202.57	4	0	pays
chef	4	205.26	4	0	chef
cher	4	205.75	4	0	cher
pied	4	214.08	4	0	pied
arme	4	220.22	4	0	arme
hier	4	223.77	4	0	hier
joli	4	226.45	4	0	joli
loin	4	248.34	4	0	loin
film	4	252.66	4	0	film
papa	4	259.01	4	0	papa
mari	4	264.15	4	0	mari
gros	4	266.95	4	0	gros
côté	4	285.99	4	0	côté
gars	4	289.63	4	0	gars
sang	4	304.75	4	0	sang
part	4	305.89	4	0	part
mois	4	312.31	4	0	mois
prêt	4	314.64	4	0	prêt
tard	4	350.38	4	0	tard
tant	4	380.34	4	0	tant
truc	4	381.34	4	0	truc
idée	4	389.77	4	0	idée
même	4	402.93	4	0	même
oeil	4	413.04	4	0	oeil
coup	4	471.82	4	0	coup
tête	4	475.87	4	0	tête
main	4	499.6	4	0	main
peur	4	557.21	4	0	peur
soir	4	575.7	4	0	soir
gens	4	594.29	4	0	gens
donc	4	612.51	4	0	donc
beau	4	671.86	4	0	beau
déjà	4	681.89	4	0	déjà
mère	4	686.79	4	0	mère
vrai	4	807.03	4	0	vrai
chez	4	842.18	4	0	chez
trop	4	859.54	4	0	trop
seul	4	891.45	4	0	seul
père	4	895.55	4	0	père
fois	4	899.25	4	0	fois
dieu	4	903.41	4	0	dieu
sans	4	1003.44	4	0	sans
jour	4	1061.92	4	0	jour
quoi	4	1558.22	4	0	quoi
très	4	1589.92	4	0	très
tout	4	2948.75	4	0	tout
avec	4	3704.89	4	0	avec
voir	4	4119.43	4	0	voir
dans	4	4658.59	4	0	dans
être	4	8074.24	4	0	être
appel	5	100.18	4	0	appel
filer	5	100.97	4	0	filer
rouge	5	102.93	4	0	rouge
honte	5	103.4	4	0	honte
crime	5	104.07	4	0	crime
garde	5	104.47	4	0	garde
scène	5	107.96	4	0	scène
doute	5	108.18	4	0	doute
choix	5	113.35	4	0	choix
jambe	5	113.82	4	0	jambe
début	5	114.31	4	0	début
hôtel	5	114.67	4	0	hôtel
sorte	5	114.73	4	0	sorte
effet	5	116.75	4	0	effet
salle	5	116.91	4	0	salle
crier	5	116.94	4	0	crier
agent	5	117.9	4	0	agent
table	5	118.37	4	0	table
blanc	5	118.74	4	0	blanc
balle	5	122.07	4	0	balle
clair	5	122.69	4	0	clair
rêver	5	122.95	4	0	rêver
oncle	5	126.71	4	0	oncle
froid	5	127.22	4	0	froid
avion	5	128.35	4	0	avion
libre	5	134.42	4	0	libre
grave	5	142.48	4	0	grave
drôle	5	144.48	4	0	drôle
carte	5	144.96	4	0	carte
jurer	5	148.41	4	0	jurer
pièce	5	151.1	4	0	pièce
taire	5	154.46	4	0	taire
route	5	166.72	4	0	route
faute	5	169.26	4	0	faute
verre	5	176.57	4	0	verre
soeur	5	184.99	4	0	soeur
après	5	193.68	4	0	après
livre	5	198.11	4	0	livre
peine	5	199.75	4	0	peine
école	5	206.88	4	0	école
ainsi	5	207.68	4	0	ainsi
plein	5	208.75	4	0	plein
photo	5	209.1	4	0	photo
envie	5	213.96	4	0	envie
reste	5	214.54	4	0	reste
poser	5	217.2	4	0	poser
ordre	5	217.25	4	0	ordre
cause	5	218.6	4	0	cause
genre	5	221.51	4	0	genre
chien	5	223.53	4	0	chien
façon	5	230.48	4	0	façon
voler	5	238.82	4	0	voler
coeur	5	239.97	4	0	coeur
corps	5	250.15	4	0	corps
train	5	255.28	4	0	train
enfin	5	265.83	4	0	enfin
matin	5	275.01	4	0	matin
suite	5	275.9	4	0	suite
salut	5	277.42	4	0	salut
voici	5	277.59	4	0	voici
vieux	5	282.2	4	0	vieux
terre	5	294.45	4	0	terre
ville	5	295.14	4	0	ville
jeune	5	297.01	4	0	jeune
place	5	301.3	4	0	place
prier	5	313.12	4	0	prier
année	5	316.25	4	0	année
porte	5	333.85	4	0	porte
entre	5	372.72	4	0	entre
merci	5	379.38	4	0	merci
frère	5	390.39	4	0	frère
assez	5	407.75	4	0	assez
tirer	5	415.14	4	0	tirer
payer	5	416.68	4	0	payer
amour	5	458.27	4	0	amour
moins	5	478.75	4	0	moins
tenir	5	504.69	4	0	tenir
maman	5	540.21	4	0	maman
finir	5	557.61	4	0	finir
jouer	5	570.12	4	0	jouer
comme	5	577.64	4	0	comme
grand	5	638.72	4	0	grand
mieux	5	651.73	4	0	mieux
juste	5	656.86	4	0	juste
aider	5	688.71	4	0	aider
heure	5	709.79	4	0	heure
voilà	5	726.44	4	0	voilà
autre	5	786.09	4	0	autre
monde	5	830.72	4	0	monde
fille	5	841.56	4	0	fille
temps	5	1031.05	4	0	temps
femme	5	1049.32	4	0	femme
petit	5	1106.8	4	0	petit
homme	5	1123.55	4	0	homme
aussi	5	1402.33	4	0	aussi
aimer	5	1655.07	4	0	aimer
chose	5	1773.62	4	0	chose
alors	5	1777.65	4	0	alors
venir	5	2763.82	4	0	venir
faire	5	8813.48	4	0	faire
avoir	5	18559.22	4	0	avoir
soirée	6	102.37	4	0	soirée
triste	6	103.44	4	0	triste
parole	6	103.48	4	0	parole
groupe	6	104.38	4	0	groupe
humain	6	107.1	4	0	humain
preuve	6	107.54	4	0	preuve
soldat	6	107.92	4	0	soldat
brûler	6	110.28	4	0	brûler
dessus	6	111.19	4	0	dessus
peuple	6	111.36	4	0	peuple
client	6	112.12	4	0	client
avocat	6	112.69	4	0	avocat
propos	6	115.21	4	0	propos
naître	6	116.11	4	0	naître
espèce	6	116.51	4	0	espèce
papier	6	120.51	4	0	papier
cheveu	6	121.27	4	0	cheveu
sauter	6	123.03	4	0	sauter
voyage	6	123.17	4	0	voyage
soleil	6	123.34	4	0	soleil
erreur	6	124.15	4	0	erreur
bateau	6	124.82	4	0	bateau
vivant	6	124.97	4	0	vivant
chemin	6	125.18	4	0	chemin
cadeau	6	125.79	4	0	cadeau
cheval	6	129.12	4	0	cheval
équipe	6	129.97	4	0	équipe
pareil	6	133.45	4	0	pareil
danser	6	137.36	4	0	danser
simple	6	137.69	4	0	simple
retour	6	138.94	4	0	retour
visage	6	141.23	4	0	visage
amuser	6	141.41	4	0	amuser
patron	6	141.53	4	0	patron
courir	6	146.5	4	0	courir
depuis	6	147.19	4	0	depuis
prison	6	147.49	4	0	prison
autant	6	152.16	4	0	autant
couper	6	155.82	4	0	couper
esprit	6	155.82	4	0	esprit
lettre	6	156.77	4	0	lettre
malade	6	158.27	4	0	malade
copain	6	158.62	4	0	copain
facile	6	159.35	4	0	facile
casser	6	160.61	4	0	casser
compte	6	160.95	4	0	compte
propre	6	163.24	4	0	propre
bureau	6	167.13	4	0	bureau
calmer	6	168.54	4	0	calmer
numéro	6	173.48	4	0	numéro
offrir	6	177.8	4	0	offrir
pauvre	6	178.03	4	0	pauvre
dehors	6	180.79	4	0	dehors
mentir	6	185.16	4	0	mentir
amener	6	190.32	4	0	amener
partie	6	191.19	4	0	partie
gentil	6	192.64	4	0	gentil
adorer	6	193.67	4	0	adorer
battre	6	200.35	4	0	battre
cacher	6	204.13	4	0	cacher
vendre	6	206.95	4	0	vendre
plutôt	6	210.4	4	0	plutôt
bouger	6	211.9	4	0	bouger
marier	6	220.51	4	0	marier
guerre	6	221.65	4	0	guerre
fermer	6	238.65	4	0	fermer
sauver	6	246.54	4	0	sauver
garçon	6	251.51	4	0	garçon
revoir	6	262.05	4	0	revoir
police	6	276.21	4	0	police
monter	6	277.32	4	0	monter
gagner	6	294.44	4	0	gagner
écrire	6	305.92	4	0	écrire
madame	6	307.36	4	0	madame
servir	6	309.81	4	0	servir
garder	6	338.4	4	0	garder
minute	6	342.28	4	0	minute
chance	6	360.6	4	0	chance
dormir	6	392.09	4	0	dormir
tomber	6	407.82	4	0	tomber
ouvrir	6	413.32	4	0	ouvrir
moment	6	433.59	4	0	moment
entrer	6	450.11	4	0	entrer
raison	6	467.94	4	0	raison
rendre	6	508.81	4	0	rendre
sentir	6	535.4	4	0	sentir
perdre	6	546.08	4	0	perdre
maison	6	605.75	4	0	maison
plaire	6	607.21	4	0	plaire
enfant	6	735.59	4	0	enfant
besoin	6	771.24	4	0	besoin
mourir	6	916.4	4	0	mourir
rester	6	1003.56	4	0	rester
mettre	6	1004.83	4	0	mettre
partir	6	1111.97	4	0	partir
encore	6	1176.94	4	0	encore
jamais	6	1360.22	4	0	jamais
penser	6	1485.47	4	0	penser
passer	6	1495.49	4	0	passer
croire	6	1711.99	4	0	croire
suivre	6	2090.54	4	0	suivre
risquer	7	100.4	4	0	risquer
dégager	7	102.47	4	0	dégager
certain	7	103.57	4	0	certain
colonel	7	103.7	4	0	colonel
blesser	7	103.74	4	0	blesser
traiter	7	104.04	4	0	traiter
victime	7	106.25	4	0	victime
silence	7	106.43	4	0	silence
assurer	7	107.71	4	0	assurer
journal	7	110.8	4	0	journal
inviter	7	116.83	4	0	inviter
message	7	117.11	4	0	message
pouvoir	7	117.87	4	0	pouvoir
pousser	7	125.61	4	0	pousser
ensuite	7	127.92	4	0	ensuite
habiter	7	128.3	4	0	habiter
honneur	7	130.69	4	0	honneur
bizarre	7	131.41	4	0	bizarre
réussir	7	131.88	4	0	réussir
hôpital	7	133.15	4	0	hôpital
lumière	7	134.83	4	0	lumière
souvent	7	135.54	4	0	souvent
exister	7	136.24	4	0	exister
médecin	7	140.19	4	0	médecin
partout	7	141.94	4	0	partout
refuser	7	143.96	4	0	refuser
surtout	7	148.66	4	0	surtout
tromper	7	149.09	4	0	tromper
parfois	7	152.86	4	0	parfois
ignorer	7	156.55	4	0	ignorer
frapper	7	160.04	4	0	frapper
bonsoir	7	161.17	4	0	bonsoir
chanter	7	166.34	4	0	chanter
musique	7	169.8	4	0	musique
choisir	7	170.48	4	0	choisir
enlever	7	172.47	4	0	enlever
ramener	7	172.7	4	0	ramener
journée	7	174.89	4	0	journée
presque	7	181.81	4	0	presque
bientôt	7	184.96	4	0	bientôt
plaisir	7	186.37	4	0	plaisir
service	7	187.67	4	0	service
pleurer	7	191.64	4	0	pleurer
tourner	7	204.15	4	0	tourner
décider	7	207.76	4	0	décider
nouveau	7	209.45	4	0	nouveau
endroit	7	218.24	4	0	endroit
compter	7	227.78	4	0	compter
sembler	7	229.25	4	0	sembler
suffire	7	232.08	4	0	suffire
docteur	7	233.86	4	0	docteur
heureux	7	248.45	4	0	heureux
manquer	7	253.94	4	0	manquer
emmener	7	272.71	4	0	emmener
quitter	7	276.23	4	0	quitter
chambre	7	288.64	4	0	chambre
acheter	7	290.7	4	0	acheter
semaine	7	290.85	4	0	semaine
désoler	7	297.27	4	0	désoler
espérer	7	301.08	4	0	espérer
asseoir	7	322.71	4	0	asseoir
