file,freq_hz,band_lo_hz,band_hi_hz,iso226_gain_db,rms_dbfs,peak_dbfs
tone_00200Hz.wav,200.0,198.56,201.45,10.72,-8.46,-3.0
tone_00303Hz.wav,303.14,300.96,305.34,5.83,-13.49,-6.52
tone_00459Hz.wav,459.48,456.17,462.81,2.51,-16.66,-9.93
tone_00696Hz.wav,696.44,691.43,701.49,0.37,-18.83,-10.46
tone_01056Hz.wav,1055.61,1048.01,1063.26,0.01,-19.21,-9.78
