subj,ntrial,nbloc,langue,sent_dur,fname,sent_onset
12,1,0,wol,2994,wol3173_22050_1p15_LPF.wav,1500
12,2,0,wol,2729,wol3158_22050_1p15_LPF.wav,5794
12,3,0,wol,3059,wol3188_22050_1p15_LPF.wav,9823
12,4,1,ch,3029,ch_localizer_21_trimmed_shorten_88.wav,17882
12,5,1,ch,3183,ch_localizer_22_shorten_86.wav,22211
12,6,1,ch,3061,ch_localizer_16_shorten_85.wav,26694
12,7,2,fr,3065,fr_localizer-16_0p82.wav,34755
12,8,2,fr,3796,fr_localizer-23_0p82.wav,39120
12,9,2,fr,2860,fr_localizer-05_0p82.wav,44216
12,10,3,wol,3122,wol3165_22050_1p15_LPF.wav,52076
12,11,3,wol,2869,wol3154_22050_1p15_LPF.wav,56498
12,12,3,wol,3494,wol3184_22050_1p15_LPF.wav,60667
12,13,4,ch,3288,ch_localizer_03_shorten86.wav,69161
12,14,4,ch,3950,ch_localizer_08_shorten_80.wav,73749
12,15,4,ch,3419,ch_localizer_20_shorten_85.wav,78999
12,16,5,fr,3545,fr_localizer-02_0p82.wav,87418
12,17,5,fr,3097,fr_localizer-15_0p82.wav,92263
12,18,5,fr,2719,fr_localizer-01_0p82.wav,96660
12,19,6,wol,2881,wol3162_22050_1p15_LPF.wav,104379
12,20,6,wol,3496,wol3192_22050_1p15_LPF.wav,108560
12,21,6,wol,2754,wol3153_22050_1p15_LPF.wav,113356
12,22,7,ch,3013,ch_localizer_14_shorten_88.wav,121110
12,23,7,ch,4544,ch_localizer_12_shorten_82.wav,125423
12,24,7,ch,2773,ch_localizer_07_trim88.wav,131267
12,25,8,fr,3362,fr_localizer-10_0p82.wav,139040
12,26,8,fr,2846,fr_localizer-04_0p82.wav,143702
12,27,8,fr,3047,fr_localizer-03-2_0p82.wav,147848
12,28,9,wol,2467,wol3156_22050_1p15_LPF.wav,155895
12,29,9,wol,3636,wol3206_22050_1p15_LPF.wav,159662
12,30,9,wol,3411,wol3175_22050_1p15_LPF.wav,164598
12,31,10,ch,3421,ch_localizer_01_873.wav,173009
12,32,10,ch,2994,ch_localizer_02_876.wav,177730
12,33,10,ch,3654,ch_localizer_05_875.wav,182024
12,34,11,fr,2728,fr_localizer-07-2_0p82.wav,190678
12,35,11,fr,3458,fr_localizer-13_0p82.wav,194706
12,36,11,fr,3225,fr_localizer-11_0p82.wav,199464
12,37,12,wol,3098,wol3161_22050_1p15_LPF.wav,207689
12,38,12,wol,4198,wol3214_22050_1p15_LPF.wav,212087
12,39,12,wol,3249,wol3186_22050_1p15_LPF.wav,217585
12,40,13,ch,3099,ch_localizer_13_shorten_85.wav,225834
12,41,13,ch,3524,ch_localizer_09_shorten_87.wav,230233
12,42,13,ch,2862,ch_localizer_24_shorten_822.wav,235057
12,43,14,fr,3384,fr_localizer-19.wav,242919
12,44,14,fr,2792,fr_localizer-06_0p82.wav,247603
12,45,14,fr,3577,fr_localizer-20_0p82.wav,251695
12,46,15,wol,3540,wol3201_22050_1p15_LPF.wav,260272
12,47,15,wol,3200,wol3168_22050_1p15_LPF.wav,265112
12,48,15,wol,3319,wol3187_22050_1p15_LPF.wav,269612
12,49,16,ch,3249,ch_localizer_10_shorten_90.wav,277931
12,50,16,ch,3607,ch_localizer_11_shorten_88.wav,282480
12,51,16,ch,2715,ch_localizer_18.wav,287387
12,52,17,fr,4238,fr_localizer-22_0p82.wav,295102
12,53,17,fr,3709,fr_localizer-18-2_0p82.wav,300640
12,54,17,fr,3380,fr_localizer-17_0p82.wav,305649
12,55,18,wol,3336,wol3167_22050_1p15_LPF.wav,314029
12,56,18,wol,3200,wol3178_22050_1p15_LPF.wav,318665
12,57,18,wol,2860,wol3157_22050_1p15_LPF.wav,323165
12,58,99,,1000,silent-1sec.wav,331025
