subj,ntrial,nbloc,langue,sent_dur,fname,sent_onset
27,1,0,wol,2994,wol3173_22050_1p15_LPF.wav,1500
27,2,0,wol,2729,wol3158_22050_1p15_LPF.wav,5794
27,3,0,wol,3059,wol3188_22050_1p15_LPF.wav,9823
27,4,1,wol,3098,wol3161_22050_1p15_LPF.wav,17882
27,5,1,wol,4198,wol3214_22050_1p15_LPF.wav,22280
27,6,1,wol,3249,wol3186_22050_1p15_LPF.wav,27778
27,7,2,fr,3384,fr_localizer-19.wav,36027
27,8,2,fr,2792,fr_localizer-06_0p82.wav,40711
27,9,2,fr,3577,fr_localizer-20_0p82.wav,44803
27,10,3,ch,3249,ch_localizer_10_shorten_90.wav,53380
27,11,3,ch,3607,ch_localizer_11_shorten_88.wav,57929
27,12,3,ch,2715,ch_localizer_18.wav,62836
27,13,4,wol,2467,wol3156_22050_1p15_LPF.wav,70551
27,14,4,wol,3636,wol3206_22050_1p15_LPF.wav,74318
27,15,4,wol,3411,wol3175_22050_1p15_LPF.wav,79254
27,16,5,fr,3065,fr_localizer-16_0p82.wav,87665
27,17,5,fr,3796,fr_localizer-23_0p82.wav,92030
27,18,5,fr,2860,fr_localizer-05_0p82.wav,97126
27,19,6,ch,3029,ch_localizer_21_trimmed_shorten_88.wav,104986
27,20,6,ch,3183,ch_localizer_22_shorten_86.wav,109315
27,21,6,ch,3061,ch_localizer_16_shorten_85.wav,113798
27,22,7,wol,3122,wol3165_22050_1p15_LPF.wav,121859
27,23,7,wol,2869,wol3154_22050_1p15_LPF.wav,126281
27,24,7,wol,3494,wol3184_22050_1p15_LPF.wav,130450
27,25,8,fr,3362,fr_localizer-10_0p82.wav,138944
27,26,8,fr,2846,fr_localizer-04_0p82.wav,143606
27,27,8,fr,3047,fr_localizer-03-2_0p82.wav,147752
27,28,9,ch,3421,ch_localizer_01_873.wav,155799
27,29,9,ch,2994,ch_localizer_02_876.wav,160520
27,30,9,ch,3654,ch_localizer_05_875.wav,164814
27,31,10,wol,3540,wol3201_22050_1p15_LPF.wav,173468
27,32,10,wol,3200,wol3168_22050_1p15_LPF.wav,178308
27,33,10,wol,3319,wol3187_22050_1p15_LPF.wav,182808
27,34,11,fr,2728,fr_localizer-07-2_0p82.wav,191127
27,35,11,fr,3458,fr_localizer-13_0p82.wav,195155
27,36,11,fr,3225,fr_localizer-11_0p82.wav,199913
27,37,12,ch,3099,ch_localizer_13_shorten_85.wav,208138
27,38,12,ch,3524,ch_localizer_09_shorten_87.wav,212537
27,39,12,ch,2862,ch_localizer_24_shorten_822.wav,217361
27,40,13,wol,2881,wol3162_22050_1p15_LPF.wav,225223
27,41,13,wol,3496,wol3192_22050_1p15_LPF.wav,229404
27,42,13,wol,2754,wol3153_22050_1p15_LPF.wav,234200
27,43,14,fr,3545,fr_localizer-02_0p82.wav,241954
27,44,14,fr,3097,fr_localizer-15_0p82.wav,246799
27,45,14,fr,2719,fr_localizer-01_0p82.wav,251196
27,46,15,ch,3013,ch_localizer_14_shorten_88.wav,258915
27,47,15,ch,4544,ch_localizer_12_shorten_82.wav,263228
27,48,15,ch,2773,ch_localizer_07_trim88.wav,269072
27,49,16,wol,3336,wol3167_22050_1p15_LPF.wav,276845
27,50,16,wol,3200,wol3178_22050_1p15_LPF.wav,281481
27,51,16,wol,2860,wol3157_22050_1p15_LPF.wav,285981
27,52,17,fr,4238,fr_localizer-22_0p82.wav,293841
27,53,17,fr,3709,fr_localizer-18-2_0p82.wav,299379
27,54,17,fr,3380,fr_localizer-17_0p82.wav,304388
27,55,18,ch,3288,ch_localizer_03_shorten86.wav,312768
27,56,18,ch,3950,ch_localizer_08_shorten_80.wav,317356
27,57,18,ch,3419,ch_localizer_20_shorten_85.wav,322606
27,58,99,,1000,silent-1sec.wav,331025
