subj,ntrial,nbloc,langue,sent_dur,fname,sent_onset
20,1,0,wol,2994,wol3173_22050_1p15_LPF.wav,1500
20,2,0,wol,2729,wol3158_22050_1p15_LPF.wav,5794
20,3,0,wol,3059,wol3188_22050_1p15_LPF.wav,9823
20,4,1,ch,3029,ch_localizer_21_trimmed_shorten_88.wav,17882
20,5,1,ch,3183,ch_localizer_22_shorten_86.wav,22211
20,6,1,ch,3061,ch_localizer_16_shorten_85.wav,26694
20,7,2,wol,3336,wol3167_22050_1p15_LPF.wav,34755
20,8,2,wol,3200,wol3178_22050_1p15_LPF.wav,39391
20,9,2,wol,2860,wol3157_22050_1p15_LPF.wav,43891
20,10,3,fr,2728,fr_localizer-07-2_0p82.wav,51751
20,11,3,fr,3458,fr_localizer-13_0p82.wav,55779
20,12,3,fr,3225,fr_localizer-11_0p82.wav,60537
20,13,4,ch,3013,ch_localizer_14_shorten_88.wav,68762
20,14,4,ch,4544,ch_localizer_12_shorten_82.wav,73075
20,15,4,ch,2773,ch_localizer_07_trim88.wav,78919
20,16,5,wol,2467,wol3156_22050_1p15_LPF.wav,86692
20,17,5,wol,3636,wol3206_22050_1p15_LPF.wav,90459
20,18,5,wol,3411,wol3175_22050_1p15_LPF.wav,95395
20,19,6,fr,3384,fr_localizer-19.wav,103806
20,20,6,fr,2792,fr_localizer-06_0p82.wav,108490
20,21,6,fr,3577,fr_localizer-20_0p82.wav,112582
20,22,7,ch,3249,ch_localizer_10_shorten_90.wav,121159
20,23,7,ch,3607,ch_localizer_11_shorten_88.wav,125708
20,24,7,ch,2715,ch_localizer_18.wav,130615
20,25,8,wol,3540,wol3201_22050_1p15_LPF.wav,138330
20,26,8,wol,3200,wol3168_22050_1p15_LPF.wav,143170
20,27,8,wol,3319,wol3187_22050_1p15_LPF.wav,147670
20,28,9,fr,4238,fr_localizer-22_0p82.wav,155989
20,29,9,fr,3709,fr_localizer-18-2_0p82.wav,161527
20,30,9,fr,3380,fr_localizer-17_0p82.wav,166536
20,31,10,ch,3288,ch_localizer_03_shorten86.wav,174916
20,32,10,ch,3950,ch_localizer_08_shorten_80.wav,179504
20,33,10,ch,3419,ch_localizer_20_shorten_85.wav,184754
20,34,11,wol,2881,wol3162_22050_1p15_LPF.wav,193173
20,35,11,wol,3496,wol3192_22050_1p15_LPF.wav,197354
20,36,11,wol,2754,wol3153_22050_1p15_LPF.wav,202150
20,37,12,fr,3362,fr_localizer-10_0p82.wav,209904
20,38,12,fr,2846,fr_localizer-04_0p82.wav,214566
20,39,12,fr,3047,fr_localizer-03-2_0p82.wav,218712
20,40,13,ch,3099,ch_localizer_13_shorten_85.wav,226759
20,41,13,ch,3524,ch_localizer_09_shorten_87.wav,231158
20,42,13,ch,2862,ch_localizer_24_shorten_822.wav,235982
20,43,14,wol,3098,wol3161_22050_1p15_LPF.wav,243844
20,44,14,wol,4198,wol3214_22050_1p15_LPF.wav,248242
20,45,14,wol,3249,wol3186_22050_1p15_LPF.wav,253740
20,46,15,fr,3545,fr_localizer-02_0p82.wav,261989
20,47,15,fr,3097,fr_localizer-15_0p82.wav,266834
20,48,15,fr,2719,fr_localizer-01_0p82.wav,271231
20,49,16,ch,3421,ch_localizer_01_873.wav,278950
20,50,16,ch,2994,ch_localizer_02_876.wav,283671
20,51,16,ch,3654,ch_localizer_05_875.wav,287965
20,52,17,wol,3122,wol3165_22050_1p15_LPF.wav,296619
20,53,17,wol,2869,wol3154_22050_1p15_LPF.wav,301041
20,54,17,wol,3494,wol3184_22050_1p15_LPF.wav,305210
20,55,18,fr,3065,fr_localizer-16_0p82.wav,313704
20,56,18,fr,3796,fr_localizer-23_0p82.wav,318069
20,57,18,fr,2860,fr_localizer-05_0p82.wav,323165
20,58,99,,1000,silent-1sec.wav,331025
