subj,ntrial,nbloc,langue,sent_dur,fname,sent_onset
13,1,0,wol,2994,wol3173_22050_1p15_LPF.wav,1500
13,2,0,wol,2729,wol3158_22050_1p15_LPF.wav,5794
13,3,0,wol,3059,wol3188_22050_1p15_LPF.wav,9823
13,4,1,fr,3384,fr_localizer-19.wav,17882
13,5,1,fr,2792,fr_localizer-06_0p82.wav,22566
13,6,1,fr,3577,fr_localizer-20_0p82.wav,26658
13,7,2,ch,3013,ch_localizer_14_shorten_88.wav,35235
13,8,2,ch,4544,ch_localizer_12_shorten_82.wav,39548
13,9,2,ch,2773,ch_localizer_07_trim88.wav,45392
13,10,3,wol,3122,wol3165_22050_1p15_LPF.wav,53165
13,11,3,wol,2869,wol3154_22050_1p15_LPF.wav,57587
13,12,3,wol,3494,wol3184_22050_1p15_LPF.wav,61756
13,13,4,fr,3362,fr_localizer-10_0p82.wav,70250
13,14,4,fr,2846,fr_localizer-04_0p82.wav,74912
13,15,4,fr,3047,fr_localizer-03-2_0p82.wav,79058
13,16,5,ch,3288,ch_localizer_03_shorten86.wav,87105
13,17,5,ch,3950,ch_localizer_08_shorten_80.wav,91693
13,18,5,ch,3419,ch_localizer_20_shorten_85.wav,96943
13,19,6,wol,3098,wol3161_22050_1p15_LPF.wav,105362
13,20,6,wol,4198,wol3214_22050_1p15_LPF.wav,109760
13,21,6,wol,3249,wol3186_22050_1p15_LPF.wav,115258
13,22,7,fr,2728,fr_localizer-07-2_0p82.wav,123507
13,23,7,fr,3458,fr_localizer-13_0p82.wav,127535
13,24,7,fr,3225,fr_localizer-11_0p82.wav,132293
13,25,8,ch,3249,ch_localizer_10_shorten_90.wav,140518
13,26,8,ch,3607,ch_localizer_11_shorten_88.wav,145067
13,27,8,ch,2715,ch_localizer_18.wav,149974
13,28,9,wol,3336,wol3167_22050_1p15_LPF.wav,157689
13,29,9,wol,3200,wol3178_22050_1p15_LPF.wav,162325
13,30,9,wol,2860,wol3157_22050_1p15_LPF.wav,166825
13,31,10,fr,3545,fr_localizer-02_0p82.wav,174685
13,32,10,fr,3097,fr_localizer-15_0p82.wav,179530
13,33,10,fr,2719,fr_localizer-01_0p82.wav,183927
13,34,11,ch,3029,ch_localizer_21_trimmed_shorten_88.wav,191646
13,35,11,ch,3183,ch_localizer_22_shorten_86.wav,195975
13,36,11,ch,3061,ch_localizer_16_shorten_85.wav,200458
13,37,12,wol,2881,wol3162_22050_1p15_LPF.wav,208519
13,38,12,wol,3496,wol3192_22050_1p15_LPF.wav,212700
13,39,12,wol,2754,wol3153_22050_1p15_LPF.wav,217496
13,40,13,fr,4238,fr_localizer-22_0p82.wav,225250
13,41,13,fr,3709,fr_localizer-18-2_0p82.wav,230788
13,42,13,fr,3380,fr_localizer-17_0p82.wav,235797
13,43,14,ch,3421,ch_localizer_01_873.wav,244177
13,44,14,ch,2994,ch_localizer_02_876.wav,248898
13,45,14,ch,3654,ch_localizer_05_875.wav,253192
13,46,15,wol,3540,wol3201_22050_1p15_LPF.wav,261846
13,47,15,wol,3200,wol3168_22050_1p15_LPF.wav,266686
13,48,15,wol,3319,wol3187_22050_1p15_LPF.wav,271186
13,49,16,fr,3065,fr_localizer-16_0p82.wav,279505
13,50,16,fr,3796,fr_localizer-23_0p82.wav,283870
13,51,16,fr,2860,fr_localizer-05_0p82.wav,288966
13,52,17,ch,3099,ch_localizer_13_shorten_85.wav,296826
13,53,17,ch,3524,ch_localizer_09_shorten_87.wav,301225
13,54,17,ch,2862,ch_localizer_24_shorten_822.wav,306049
13,55,18,wol,2467,wol3156_22050_1p15_LPF.wav,313911
13,56,18,wol,3636,wol3206_22050_1p15_LPF.wav,317678
13,57,18,wol,3411,wol3175_22050_1p15_LPF.wav,322614
13,58,99,,1000,silent-1sec.wav,331025
