subj,ntrial,nbloc,langue,sent_dur,fname,sent_onset
30,1,0,wol,2994,wol3173_22050_1p15_LPF.wav,1500
30,2,0,wol,2729,wol3158_22050_1p15_LPF.wav,5794
30,3,0,wol,3059,wol3188_22050_1p15_LPF.wav,9823
30,4,1,ch,3029,ch_localizer_21_trimmed_shorten_88.wav,17882
30,5,1,ch,3183,ch_localizer_22_shorten_86.wav,22211
30,6,1,ch,3061,ch_localizer_16_shorten_85.wav,26694
30,7,2,fr,3384,fr_localizer-19.wav,34755
30,8,2,fr,2792,fr_localizer-06_0p82.wav,39439
30,9,2,fr,3577,fr_localizer-20_0p82.wav,43531
30,10,3,wol,3098,wol3161_22050_1p15_LPF.wav,52108
30,11,3,wol,4198,wol3214_22050_1p15_LPF.wav,56506
30,12,3,wol,3249,wol3186_22050_1p15_LPF.wav,62004
30,13,4,ch,3099,ch_localizer_13_shorten_85.wav,70253
30,14,4,ch,3524,ch_localizer_09_shorten_87.wav,74652
30,15,4,ch,2862,ch_localizer_24_shorten_822.wav,79476
30,16,5,fr,3362,fr_localizer-10_0p82.wav,87338
30,17,5,fr,2846,fr_localizer-04_0p82.wav,92000
30,18,5,fr,3047,fr_localizer-03-2_0p82.wav,96146
30,19,6,wol,2881,wol3162_22050_1p15_LPF.wav,104193
30,20,6,wol,3496,wol3192_22050_1p15_LPF.wav,108374
30,21,6,wol,2754,wol3153_22050_1p15_LPF.wav,113170
30,22,7,ch,3013,ch_localizer_14_shorten_88.wav,120924
30,23,7,ch,4544,ch_localizer_12_shorten_82.wav,125237
30,24,7,ch,2773,ch_localizer_07_trim88.wav,131081
30,25,8,fr,3065,fr_localizer-16_0p82.wav,138854
30,26,8,fr,3796,fr_localizer-23_0p82.wav,143219
30,27,8,fr,2860,fr_localizer-05_0p82.wav,148315
30,28,9,wol,3540,wol3201_22050_1p15_LPF.wav,156175
30,29,9,wol,3200,wol3168_22050_1p15_LPF.wav,161015
30,30,9,wol,3319,wol3187_22050_1p15_LPF.wav,165515
30,31,10,ch,3421,ch_localizer_01_873.wav,173834
30,32,10,ch,2994,ch_localizer_02_876.wav,178555
30,33,10,ch,3654,ch_localizer_05_875.wav,182849
30,34,11,fr,2728,fr_localizer-07-2_0p82.wav,191503
30,35,11,fr,3458,fr_localizer-13_0p82.wav,195531
30,36,11,fr,3225,fr_localizer-11_0p82.wav,200289
30,37,12,wol,3336,wol3167_22050_1p15_LPF.wav,208514
30,38,12,wol,3200,wol3178_22050_1p15_LPF.wav,213150
30,39,12,wol,2860,wol3157_22050_1p15_LPF.wav,217650
30,40,13,ch,3288,ch_localizer_03_shorten86.wav,225510
30,41,13,ch,3950,ch_localizer_08_shorten_80.wav,230098
30,42,13,ch,3419,ch_localizer_20_shorten_85.wav,235348
30,43,14,fr,3545,fr_localizer-02_0p82.wav,243767
30,44,14,fr,3097,fr_localizer-15_0p82.wav,248612
30,45,14,fr,2719,fr_localizer-01_0p82.wav,253009
30,46,15,wol,3122,wol3165_22050_1p15_LPF.wav,260728
30,47,15,wol,2869,wol3154_22050_1p15_LPF.wav,265150
30,48,15,wol,3494,wol3184_22050_1p15_LPF.wav,269319
30,49,16,ch,3249,ch_localizer_10_shorten_90.wav,277813
30,50,16,ch,3607,ch_localizer_11_shorten_88.wav,282362
30,51,16,ch,2715,ch_localizer_18.wav,287269
30,52,17,fr,4238,fr_localizer-22_0p82.wav,294984
30,53,17,fr,3709,fr_localizer-18-2_0p82.wav,300522
30,54,17,fr,3380,fr_localizer-17_0p82.wav,305531
30,55,18,wol,2467,wol3156_22050_1p15_LPF.wav,313911
30,56,18,wol,3636,wol3206_22050_1p15_LPF.wav,317678
30,57,18,wol,3411,wol3175_22050_1p15_LPF.wav,322614
30,58,99,,1000,silent-1sec.wav,331025
