subj,ntrial,nbloc,langue,sent_dur,fname,sent_onset
48,1,0,wol,2994,wol3173_22050_1p15_LPF.wav,1500
48,2,0,wol,2729,wol3158_22050_1p15_LPF.wav,5794
48,3,0,wol,3059,wol3188_22050_1p15_LPF.wav,9823
48,4,1,ch,3029,ch_localizer_21_trimmed_shorten_88.wav,17882
48,5,1,ch,3183,ch_localizer_22_shorten_86.wav,22211
48,6,1,ch,3061,ch_localizer_16_shorten_85.wav,26694
48,7,2,fr,3362,fr_localizer-10_0p82.wav,34755
48,8,2,fr,2846,fr_localizer-04_0p82.wav,39417
48,9,2,fr,3047,fr_localizer-03-2_0p82.wav,43563
48,10,3,wol,3540,wol3201_22050_1p15_LPF.wav,51610
48,11,3,wol,3200,wol3168_22050_1p15_LPF.wav,56450
48,12,3,wol,3319,wol3187_22050_1p15_LPF.wav,60950
48,13,4,ch,3013,ch_localizer_14_shorten_88.wav,69269
48,14,4,ch,4544,ch_localizer_12_shorten_82.wav,73582
48,15,4,ch,2773,ch_localizer_07_trim88.wav,79426
48,16,5,fr,3545,fr_localizer-02_0p82.wav,87199
48,17,5,fr,3097,fr_localizer-15_0p82.wav,92044
48,18,5,fr,2719,fr_localizer-01_0p82.wav,96441
48,19,6,wol,2881,wol3162_22050_1p15_LPF.wav,104160
48,20,6,wol,3496,wol3192_22050_1p15_LPF.wav,108341
48,21,6,wol,2754,wol3153_22050_1p15_LPF.wav,113137
48,22,7,ch,3099,ch_localizer_13_shorten_85.wav,120891
48,23,7,ch,3524,ch_localizer_09_shorten_87.wav,125290
48,24,7,ch,2862,ch_localizer_24_shorten_822.wav,130114
48,25,8,fr,4238,fr_localizer-22_0p82.wav,137976
48,26,8,fr,3709,fr_localizer-18-2_0p82.wav,143514
48,27,8,fr,3380,fr_localizer-17_0p82.wav,148523
48,28,9,wol,2467,wol3156_22050_1p15_LPF.wav,156903
48,29,9,wol,3636,wol3206_22050_1p15_LPF.wav,160670
48,30,9,wol,3411,wol3175_22050_1p15_LPF.wav,165606
48,31,10,ch,3421,ch_localizer_01_873.wav,174017
48,32,10,ch,2994,ch_localizer_02_876.wav,178738
48,33,10,ch,3654,ch_localizer_05_875.wav,183032
48,34,11,fr,3065,fr_localizer-16_0p82.wav,191686
48,35,11,fr,3796,fr_localizer-23_0p82.wav,196051
48,36,11,fr,2860,fr_localizer-05_0p82.wav,201147
48,37,12,wol,3098,wol3161_22050_1p15_LPF.wav,209007
48,38,12,wol,4198,wol3214_22050_1p15_LPF.wav,213405
48,39,12,wol,3249,wol3186_22050_1p15_LPF.wav,218903
48,40,13,ch,3288,ch_localizer_03_shorten86.wav,227152
48,41,13,ch,3950,ch_localizer_08_shorten_80.wav,231740
48,42,13,ch,3419,ch_localizer_20_shorten_85.wav,236990
48,43,14,fr,2728,fr_localizer-07-2_0p82.wav,245409
48,44,14,fr,3458,fr_localizer-13_0p82.wav,249437
48,45,14,fr,3225,fr_localizer-11_0p82.wav,254195
48,46,15,wol,3336,wol3167_22050_1p15_LPF.wav,262420
48,47,15,wol,3200,wol3178_22050_1p15_LPF.wav,267056
48,48,15,wol,2860,wol3157_22050_1p15_LPF.wav,271556
48,49,16,ch,3249,ch_localizer_10_shorten_90.wav,279416
48,50,16,ch,3607,ch_localizer_11_shorten_88.wav,283965
48,51,16,ch,2715,ch_localizer_18.wav,288872
48,52,17,fr,3384,fr_localizer-19.wav,296587
48,53,17,fr,2792,fr_localizer-06_0p82.wav,301271
48,54,17,fr,3577,fr_localizer-20_0p82.wav,305363
48,55,18,wol,3122,wol3165_22050_1p15_LPF.wav,313940
48,56,18,wol,2869,wol3154_22050_1p15_LPF.wav,318362
48,57,18,wol,3494,wol3184_22050_1p15_LPF.wav,322531
48,58,99,,1000,silent-1sec.wav,331025
