subj,ntrial,nbloc,langue,sent_dur,fname,sent_onset
41,1,0,wol,2994,wol3173_22050_1p15_LPF.wav,1500
41,2,0,wol,2729,wol3158_22050_1p15_LPF.wav,5794
41,3,0,wol,3059,wol3188_22050_1p15_LPF.wav,9823
41,4,1,wol,3098,wol3161_22050_1p15_LPF.wav,17882
41,5,1,wol,4198,wol3214_22050_1p15_LPF.wav,22280
41,6,1,wol,3249,wol3186_22050_1p15_LPF.wav,27778
41,7,2,fr,3362,fr_localizer-10_0p82.wav,36027
41,8,2,fr,2846,fr_localizer-04_0p82.wav,40689
41,9,2,fr,3047,fr_localizer-03-2_0p82.wav,44835
41,10,3,ch,3013,ch_localizer_14_shorten_88.wav,52882
41,11,3,ch,4544,ch_localizer_12_shorten_82.wav,57195
41,12,3,ch,2773,ch_localizer_07_trim88.wav,63039
41,13,4,wol,3336,wol3167_22050_1p15_LPF.wav,70812
41,14,4,wol,3200,wol3178_22050_1p15_LPF.wav,75448
41,15,4,wol,2860,wol3157_22050_1p15_LPF.wav,79948
41,16,5,fr,3384,fr_localizer-19.wav,87808
41,17,5,fr,2792,fr_localizer-06_0p82.wav,92492
41,18,5,fr,3577,fr_localizer-20_0p82.wav,96584
41,19,6,ch,3249,ch_localizer_10_shorten_90.wav,105161
41,20,6,ch,3607,ch_localizer_11_shorten_88.wav,109710
41,21,6,ch,2715,ch_localizer_18.wav,114617
41,22,7,wol,2467,wol3156_22050_1p15_LPF.wav,122332
41,23,7,wol,3636,wol3206_22050_1p15_LPF.wav,126099
41,24,7,wol,3411,wol3175_22050_1p15_LPF.wav,131035
41,25,8,fr,4238,fr_localizer-22_0p82.wav,139446
41,26,8,fr,3709,fr_localizer-18-2_0p82.wav,144984
41,27,8,fr,3380,fr_localizer-17_0p82.wav,149993
41,28,9,ch,3029,ch_localizer_21_trimmed_shorten_88.wav,158373
41,29,9,ch,3183,ch_localizer_22_shorten_86.wav,162702
41,30,9,ch,3061,ch_localizer_16_shorten_85.wav,167185
41,31,10,wol,2881,wol3162_22050_1p15_LPF.wav,175246
41,32,10,wol,3496,wol3192_22050_1p15_LPF.wav,179427
41,33,10,wol,2754,wol3153_22050_1p15_LPF.wav,184223
41,34,11,fr,2728,fr_localizer-07-2_0p82.wav,191977
41,35,11,fr,3458,fr_localizer-13_0p82.wav,196005
41,36,11,fr,3225,fr_localizer-11_0p82.wav,200763
41,37,12,ch,3421,ch_localizer_01_873.wav,208988
41,38,12,ch,2994,ch_localizer_02_876.wav,213709
41,39,12,ch,3654,ch_localizer_05_875.wav,218003
41,40,13,wol,3122,wol3165_22050_1p15_LPF.wav,226657
41,41,13,wol,2869,wol3154_22050_1p15_LPF.wav,231079
41,42,13,wol,3494,wol3184_22050_1p15_LPF.wav,235248
41,43,14,fr,3545,fr_localizer-02_0p82.wav,243742
41,44,14,fr,3097,fr_localizer-15_0p82.wav,248587
41,45,14,fr,2719,fr_localizer-01_0p82.wav,252984
41,46,15,ch,3099,ch_localizer_13_shorten_85.wav,260703
41,47,15,ch,3524,ch_localizer_09_shorten_87.wav,265102
41,48,15,ch,2862,ch_localizer_24_shorten_822.wav,269926
41,49,16,wol,3540,wol3201_22050_1p15_LPF.wav,277788
41,50,16,wol,3200,wol3168_22050_1p15_LPF.wav,282628
41,51,16,wol,3319,wol3187_22050_1p15_LPF.wav,287128
41,52,17,fr,3065,fr_localizer-16_0p82.wav,295447
41,53,17,fr,3796,fr_localizer-23_0p82.wav,299812
41,54,17,fr,2860,fr_localizer-05_0p82.wav,304908
41,55,18,ch,3288,ch_localizer_03_shorten86.wav,312768
41,56,18,ch,3950,ch_localizer_08_shorten_80.wav,317356
41,57,18,ch,3419,ch_localizer_20_shorten_85.wav,322606
41,58,99,,1000,silent-1sec.wav,331025
