subj,ntrial,nbloc,langue,sent_dur,fname,sent_onset
5,1,0,wol,2994,wol3173_22050_1p15_LPF.wav,1500
5,2,0,wol,2729,wol3158_22050_1p15_LPF.wav,5794
5,3,0,wol,3059,wol3188_22050_1p15_LPF.wav,9823
5,4,1,wol,2467,wol3156_22050_1p15_LPF.wav,17882
5,5,1,wol,3636,wol3206_22050_1p15_LPF.wav,21649
5,6,1,wol,3411,wol3175_22050_1p15_LPF.wav,26585
5,7,2,fr,3362,fr_localizer-10_0p82.wav,34996
5,8,2,fr,2846,fr_localizer-04_0p82.wav,39658
5,9,2,fr,3047,fr_localizer-03-2_0p82.wav,43804
5,10,3,ch,3249,ch_localizer_10_shorten_90.wav,51851
5,11,3,ch,3607,ch_localizer_11_shorten_88.wav,56400
5,12,3,ch,2715,ch_localizer_18.wav,61307
5,13,4,wol,2881,wol3162_22050_1p15_LPF.wav,69022
5,14,4,wol,3496,wol3192_22050_1p15_LPF.wav,73203
5,15,4,wol,2754,wol3153_22050_1p15_LPF.wav,77999
5,16,5,fr,3065,fr_localizer-16_0p82.wav,85753
5,17,5,fr,3796,fr_localizer-23_0p82.wav,90118
5,18,5,fr,2860,fr_localizer-05_0p82.wav,95214
5,19,6,ch,3288,ch_localizer_03_shorten86.wav,103074
5,20,6,ch,3950,ch_localizer_08_shorten_80.wav,107662
5,21,6,ch,3419,ch_localizer_20_shorten_85.wav,112912
5,22,7,wol,3098,wol3161_22050_1p15_LPF.wav,121331
5,23,7,wol,4198,wol3214_22050_1p15_LPF.wav,125729
5,24,7,wol,3249,wol3186_22050_1p15_LPF.wav,131227
5,25,8,fr,2728,fr_localizer-07-2_0p82.wav,139476
5,26,8,fr,3458,fr_localizer-13_0p82.wav,143504
5,27,8,fr,3225,fr_localizer-11_0p82.wav,148262
5,28,9,ch,3013,ch_localizer_14_shorten_88.wav,156487
5,29,9,ch,4544,ch_localizer_12_shorten_82.wav,160800
5,30,9,ch,2773,ch_localizer_07_trim88.wav,166644
5,31,10,wol,3122,wol3165_22050_1p15_LPF.wav,174417
5,32,10,wol,2869,wol3154_22050_1p15_LPF.wav,178839
5,33,10,wol,3494,wol3184_22050_1p15_LPF.wav,183008
5,34,11,fr,3545,fr_localizer-02_0p82.wav,191502
5,35,11,fr,3097,fr_localizer-15_0p82.wav,196347
5,36,11,fr,2719,fr_localizer-01_0p82.wav,200744
5,37,12,ch,3421,ch_localizer_01_873.wav,208463
5,38,12,ch,2994,ch_localizer_02_876.wav,213184
5,39,12,ch,3654,ch_localizer_05_875.wav,217478
5,40,13,wol,3336,wol3167_22050_1p15_LPF.wav,226132
5,41,13,wol,3200,wol3178_22050_1p15_LPF.wav,230768
5,42,13,wol,2860,wol3157_22050_1p15_LPF.wav,235268
5,43,14,fr,4238,fr_localizer-22_0p82.wav,243128
5,44,14,fr,3709,fr_localizer-18-2_0p82.wav,248666
5,45,14,fr,3380,fr_localizer-17_0p82.wav,253675
5,46,15,ch,3099,ch_localizer_13_shorten_85.wav,262055
5,47,15,ch,3524,ch_localizer_09_shorten_87.wav,266454
5,48,15,ch,2862,ch_localizer_24_shorten_822.wav,271278
5,49,16,wol,3540,wol3201_22050_1p15_LPF.wav,279140
5,50,16,wol,3200,wol3168_22050_1p15_LPF.wav,283980
5,51,16,wol,3319,wol3187_22050_1p15_LPF.wav,288480
5,52,17,fr,3384,fr_localizer-19.wav,296799
5,53,17,fr,2792,fr_localizer-06_0p82.wav,301483
5,54,17,fr,3577,fr_localizer-20_0p82.wav,305575
5,55,18,ch,3029,ch_localizer_21_trimmed_shorten_88.wav,314152
5,56,18,ch,3183,ch_localizer_22_shorten_86.wav,318481
5,57,18,ch,3061,ch_localizer_16_shorten_85.wav,322964
5,58,99,,1000,silent-1sec.wav,331025
