subj,ntrial,nbloc,langue,sent_dur,fname,sent_onset
1,1,1,french,1948,localizer_01A.wav,4000
1,2,1,french,2516,localizer_01B.wav,6448
1,3,1,french,1640,localizer_01C.wav,9464
1,4,2,control,2358,localizer_r_02A.wav,17104
1,5,2,control,3094,localizer_r_02B.wav,19962
1,6,2,control,2139,localizer_r_02C.wav,23556
1,7,3,french,2292,localizer_03A.wav,31695
1,8,3,french,3145,localizer_03B.wav,34487
1,9,3,french,2227,localizer_03C.wav,38132
1,10,2,control,2013,localizer_r_04A.wav,46359
1,11,2,control,2674,localizer_r_04B.wav,48872
1,12,2,control,1696,localizer_r_04C.wav,52046
1,13,3,french,2805,localizer_05A.wav,59742
1,14,3,french,2386,localizer_05B.wav,63047
1,15,3,french,2400,localizer_05C.wav,65933
1,16,4,control,2241,localizer_r_06A.wav,74333
1,17,4,control,2455,localizer_r_06B.wav,77074
1,18,4,control,2521,localizer_r_06C.wav,80029
1,19,5,french,2288,localizer_07A.wav,88550
1,20,5,french,2292,localizer_07B.wav,91338
1,21,5,french,2115,localizer_07C.wav,94130
1,22,6,control,2698,localizer_r_08A.wav,102245
1,23,6,control,3028,localizer_r_08B.wav,105443
1,24,6,control,2311,localizer_r_08C.wav,108971
1,25,7,french,2260,localizer_09A.wav,117282
1,26,7,french,2842,localizer_09B.wav,120042
1,27,7,french,1519,localizer_09C.wav,123384
1,28,8,control,2609,localizer_r_10A.wav,130903
1,29,8,control,2959,localizer_r_10B.wav,134012
1,30,8,control,2288,localizer_r_10C.wav,137471
1,31,9,french,1924,localizer_11A.wav,145759
1,32,9,french,2656,localizer_11B.wav,148183
1,33,9,french,1924,localizer_11C.wav,151339
1,34,10,control,1948,localizer_r_01A.wav,159263
1,35,10,control,2516,localizer_r_01B.wav,161711
1,36,10,control,1640,localizer_r_01C.wav,164727
1,37,11,french,2260,localizer_r_09A.wav,172367
1,38,11,french,2842,localizer_r_09B.wav,175127
1,39,11,french,1519,localizer_r_09C.wav,178469
1,40,12,control,2358,localizer_02A.wav,185988
1,41,12,control,3094,localizer_02B.wav,188846
1,42,12,control,2139,localizer_02C.wav,192440
1,43,13,french,2292,localizer_r_03A.wav,200579
1,44,13,french,3145,localizer_r_03B.wav,203371
1,45,13,french,2227,localizer_r_03C.wav,207016
1,46,14,control,2013,localizer_04A.wav,215243
1,47,14,control,2674,localizer_04B.wav,217756
1,48,14,control,1696,localizer_04C.wav,220930
1,49,15,french,2805,localizer_r_05A.wav,228626
1,50,15,french,2386,localizer_r_05B.wav,231931
1,51,15,french,2400,localizer_r_05C.wav,234817
1,52,16,control,2241,localizer_06A.wav,243217
1,53,16,control,2455,localizer_06B.wav,245958
1,54,16,control,2521,localizer_06C.wav,248913
1,55,17,french,2288,localizer_r_07A.wav,257434
1,56,17,french,2292,localizer_r_07B.wav,260222
1,57,17,french,2115,localizer_r_07C.wav,263014
1,58,18,control,2609,localizer_10A.wav,271129
1,59,18,control,2959,localizer_10B.wav,274238
1,60,18,control,2288,localizer_10C.wav,277697
1,61,19,french,1924,localizer_r_11A.wav,285985
1,62,19,french,2656,localizer_r_11B.wav,288409
1,63,19,french,1924,localizer_r_11C.wav,291565
1,64,20,control,2111,localizer_12A.wav,299489
1,65,20,control,1761,localizer_12B.wav,302100
1,66,20,control,1701,localizer_12C.wav,304361
1,67,21,french,2698,localizer_08A.wav,312062
1,68,21,french,3028,localizer_08B.wav,315260
1,69,21,french,2311,localizer_08C.wav,318788
1,70,22,control,2111,localizer_r_12A.wav,327099
1,71,22,control,1761,localizer_r_12B.wav,329710
1,72,22,control,1701,localizer_r_12C.wav,331971
